target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,adapter_status,allowed_downstream_use,review_priority,review_board_status,review_reason,manual_review_required,canonical_board_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-15,2026-06-15T19:12:01+01:00,1493865,Westchester SC,Greenville Triumph,USL League One,USA,2026-06-14T23:00:00+00:00,FT,90,HIGH_SIGNAL_REVIEW,prediction_winner=Greenville Triumph | pred_total_home_away=38.3/61.8 | 1x2=2.75/3.55/2.20 | ou2.5=1.62/2.20,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507384,Varketili,Betlemi,Liga 3,Georgia,2026-06-15T10:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Varketili | pred_total_home_away=87.0/13.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1541088,Negelle Arsi,Awassa Kenema,Premier League,Ethiopia,2026-06-15T10:00:00+00:00,FT,69,MEDIUM_SIGNAL_REVIEW,prediction_winner=Negelle Arsi | pred_total_home_away=58.3/42.0 | 1x2=2.62/2.50/2.90,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1477243,KMC,Coastal Union,Ligi kuu Bara,Tanzania,2026-06-15T13:00:00+00:00,FT,76,HIGH_SIGNAL_REVIEW,prediction_winner=Coastal Union | pred_total_home_away=43.0/57.0 | 1x2=5.40/4.33/1.44 | ou2.5=1.50/2.25,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507379,Gonio,Margveti 2006,Liga 3,Georgia,2026-06-15T13:00:00+00:00,FT,64,MEDIUM_SIGNAL_REVIEW,prediction_winner=Gonio | pred_total_home_away=63.3/36.8,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507380,Guria,Iveria Khashuri,Liga 3,Georgia,2026-06-15T13:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Guria | pred_total_home_away=67.7/32.7,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1541090,Adama Kenema,Ethiopia Nigd Bank,Premier League,Ethiopia,2026-06-15T13:00:00+00:00,FT,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Ethiopia Nigd Bank | pred_total_home_away=45.7/54.3 | 1x2=2.50/2.70/2.85,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1548217,Shahrdari Noshahr,Navad Urmia,Azadegan League,Iran,2026-06-15T13:30:00+00:00,NS,81,HIGH_SIGNAL_REVIEW,prediction_winner=Shahrdari Noshahr | pred_total_home_away=58.8/41.3 | 1x2=1.80/2.88/5.00 | ou2.5=13.00/1.03,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1548218,Mes Soongoun,Nassaji Mazandaran,Azadegan League,Iran,2026-06-15T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Nassaji Mazandaran | pred_total_home_away=30.5/69.5,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507382,Lokomotivi Tbilisi,Iberia 2010,Liga 3,Georgia,2026-06-15T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Lokomotivi Tbilisi | pred_total_home_away=78.0/22.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1548219,Ario Eslamshahr,Naft Bandar Abbas,Azadegan League,Iran,2026-06-15T14:30:00+00:00,NS,84,HIGH_SIGNAL_REVIEW,prediction_winner=Ario Eslamshahr | pred_total_home_away=60.0/40.2 | 1x2=1.91/2.62/4.75 | ou2.5=3.75/1.25,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
