target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-15,2026-06-15T19:12:01+01:00,1493865,Westchester SC,Greenville Triumph,USL League One,USA,489,2026,2026-06-14T23:00:00+00:00,FT,The Stadium at Memorial Field,25488,9026,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,Greenville Triumph,Combo Double chance : draw or Greenville Triumph and -3.5 goals,38.3,61.8,20,80,33,67,50,50,2.75,3.55,2.20,1.85,1.85,1.62,2.20,2.50,1.48,prediction_winner=Greenville Triumph | pred_total_home_away=38.3/61.8 | 1x2=2.75/3.55/2.20 | ou2.5=1.62/2.20,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1524931,Bigfoot,Oly Town,USL League Two,USA,256,2026,2026-06-14T23:00:00+00:00,FT,,25953,18904,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1524932,City SC,Ventura County Fusion,USL League Two,USA,256,2026,2026-06-15T00:00:00+00:00,FT,,25937,4093,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1524938,Brazos Valley,Hill Country Lobos,USL League Two,USA,256,2026,2026-06-15T00:00:00+00:00,FT,,4036,23118,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1524934,Snohomish United,West Seattle Junction,USL League Two,USA,256,2026,2026-06-15T01:00:00+00:00,FT,,25948,23128,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1524937,Sportivo San Juan,Almaden,USL League Two,USA,256,2026,2026-06-15T02:00:00+00:00,FT,,10490,23109,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507384,Varketili,Betlemi,Liga 3,Georgia,1104,2026,2026-06-15T10:00:00+00:00,FT,,14866,13860,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,NO,YES,NO,NO,Varketili,Winner : Varketili,87.0,13.0,93,7,83,17,91,9,,,,,,,,,,prediction_winner=Varketili | pred_total_home_away=87.0/13.0,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1541088,Negelle Arsi,Awassa Kenema,Premier League,Ethiopia,363,2025,2026-06-15T10:00:00+00:00,FT,,26881,4111,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Negelle Arsi,Combo Double chance : Negelle Arsi or draw and -3.5 goals,58.3,42.0,62,38,71,29,38,63,2.62,2.50,2.90,1.57,2.10,,,,,prediction_winner=Negelle Arsi | pred_total_home_away=58.3/42.0 | 1x2=2.62/2.50/2.90,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1477243,KMC,Coastal Union,Ligi kuu Bara,Tanzania,567,2025,2026-06-15T13:00:00+00:00,FT,KMC Stadium,8061,12189,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,NO,Coastal Union,Double chance : draw or Coastal Union,43.0,57.0,0,100,50,50,33,67,5.40,4.33,1.44,1.67,1.93,1.50,2.25,2.05,1.62,prediction_winner=Coastal Union | pred_total_home_away=43.0/57.0 | 1x2=5.40/4.33/1.44 | ou2.5=1.50/2.25,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T19:12:01+01:00,1507379,Gonio,Margveti 2006,Liga 3,Georgia,1104,2026,2026-06-15T13:00:00+00:00,FT,Kobuleti Football Center,18973,16511,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,NO,YES,YES,NO,Gonio,Winner : Gonio,63.3,36.8,54,46,69,31,50,50,,,,,,,,,,prediction_winner=Gonio | pred_total_home_away=63.3/36.8,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
