target_date,generated_at,fixture_id,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_total_goals,actual_home_sot,actual_away_sot,actual_total_sot,actual_home_shots,actual_away_shots,actual_total_shots,actual_home_corners,actual_away_corners,actual_total_corners,actual_home_cards,actual_away_cards,actual_total_cards,actual_home_fouls,actual_away_fouls,actual_total_fouls,actual_home_xg,actual_away_xg,actual_total_xg,actual_home_big,actual_away_big,actual_total_big,available_metrics,actuals_verdict,source_guard,auto_apply,production_change
2026-06-15,2026-06-15T13:47:55+01:00,1493865,Westchester SC,Greenville Triumph,FT,4,0,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524931,Bigfoot,Oly Town,FT,1,1,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524933,RKC,Edgewater Castle,FT,4,0,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524935,The Villages,Nona,FT,2,1,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524932,City SC,Ventura County Fusion,FT,1,3,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524938,Brazos Valley,Hill Country Lobos,FT,0,1,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524934,Snohomish United,West Seattle Junction,FT,3,2,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524936,Bangers,Ballard,FT,0,2,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1524937,Sportivo San Juan,Almaden,FT,0,3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1539002,Sweden,Tunisia,FT,5,1,6,7,2,9,13,6,19,4,2,6,,,,10,8,18,0,0,0,0,0,0,goals; sot; shots; corners; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1507384,Varketili,Betlemi,FT,7,1,8,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,1541088,Negelle Arsi,Awassa Kenema,FT,2,1,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
