summary_scope,metric,rows_total
overall,target_fixtures,14
odds_structure_depth_status,FALLBACK_EXISTING_ODDS,13
odds_structure_depth_status,NO_ODDS_FOUND,1
odds_structure_coherence_flag,RICH_COHERENT,13
odds_structure_coherence_flag,NO_ODDS_UNCERTAIN,1
odds_total_ladder_shape,MILD_GOALS,7
odds_total_ladder_shape,LOW_GOALS,3
odds_total_ladder_shape,BALANCED,3
odds_total_ladder_shape,UNKNOWN,1
odds_market_translation_hint,PREFER_MILDER_TOTAL,10
odds_market_translation_hint,CAUTION_BTTS,2
odds_market_translation_hint,ODDS_DEPTH_UNCERTAIN,1
odds_market_translation_hint,CAUTION_FRAGILE_SIDE,1
odds_line_aggression_flag,PREFER_OVER_1_5,7
odds_line_aggression_flag,AVOID_AGGRESSIVE_OVERS,3
odds_line_aggression_flag,NEUTRAL,3
odds_line_aggression_flag,UNKNOWN,1
