comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_result_status,candidate_v2_result_status,baseline_result,candidate_v2_result,baseline_profit_units,candidate_v2_profit_units
BOTH,1387952,Lens vs Paris Saint Germain,Ligue 1,2,1,OVER_2_5,OVER_2_5,RESULT_AVAILABLE,RESULT_AVAILABLE,LOSS,LOSS,-1.0,-1.0
BASELINE_ONLY,1391169,Alaves vs Barcelona,La Liga,1,,OVER_2_5,,RESULT_AVAILABLE,,LOSS,,-1.0,
BOTH,1544063,Stockport County vs Stevenage,League One,3,2,OVER_1_5,OVER_1_5,RESULT_AVAILABLE,RESULT_AVAILABLE,WIN,WIN,0.44,0.44
