target_date,generated_at,fixture_id,home_team,away_team,league,forecast_confidence,metric,actual_value,pred_low,pred_mid,pred_high,range_hit,abs_error_mid,direction_error,forecast_warning,source_guard,auto_apply,production_change
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_goals,3.00,2.05,2.75,3.45,HIT,0.25,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_sot,10.00,7.00,10.00,14.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_shots,24.00,23.00,28.00,34.00,HIT,4.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_corners,8.00,8.00,10.00,13.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_cards,2.00,5.00,7.00,10.00,MISS,5.00,OVER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,CONMEBOL Sudamericana,MEDIUM,total_fouls,30.00,16.00,21.00,25.00,MISS,9.00,UNDER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_goals,2.00,1.41,1.94,2.46,HIT,0.06,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_sot,10.00,7.00,10.00,13.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_shots,24.00,19.00,24.00,29.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_corners,9.00,6.00,8.00,11.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_cards,4.00,2.00,4.00,5.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,CONMEBOL Libertadores,MEDIUM,total_fouls,19.00,19.00,25.00,30.00,HIT,6.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_goals,2.00,2.35,3.25,4.15,MISS,1.25,OVER_ESTIMATE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_sot,11.00,7.00,10.00,14.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_shots,30.00,22.00,29.00,35.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_corners,9.00,7.00,10.00,14.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_cards,5.00,3.00,5.00,8.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,CONMEBOL Sudamericana,MEDIUM,total_fouls,17.00,17.00,23.00,28.00,HIT,6.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535315,Bolívar,Independ. Rivadavia,CONMEBOL Libertadores,MEDIUM,total_goals,4.00,1.97,2.75,3.53,MISS,1.25,UNDER_ESTIMATE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
