target_date,generated_at,cleaner_rank,source_issue_type,severity,fixture_id,home_team,away_team,market_primary,source_file,field_to_clean,current_value,cleaner_action,recommended_command,auto_fix,production_change,guardrail_status
2026-05-28,2026-05-28T13:47:56+01:00,1,PENDING_MARKET_RESULTS,P2,1535316,Cerro Porteno,Sporting Cristal,OVER_1_5,data/processed/today/2026-05-28/vsigma_market_results_labeled.csv,primary_result,PENDING,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,2,PENDING_MARKET_RESULTS,P2,1535327,Palmeiras,Junior,BTTS_YES,data/processed/today/2026-05-28/vsigma_market_results_labeled.csv,actionable_result,PENDING,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,3,PENDING_MARKET_RESULTS,P2,1535327,Palmeiras,Junior,BTTS_YES,data/processed/today/2026-05-28/vsigma_market_results_labeled.csv,primary_result,PENDING,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,4,PENDING_MARKET_RESULTS,P2,1545404,Casa Pia,Torreense,AWAY_WIN,data/processed/today/2026-05-28/vsigma_market_results_labeled.csv,primary_result,PENDING,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,5,PRELOCK_CONFIRMATION_REQUIRED,P2,1535315,Bolívar,Independ. Rivadavia,OVER_2_5,data/processed/today/2026-05-28/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,6,PRELOCK_CONFIRMATION_REQUIRED,P2,1535327,Palmeiras,Junior,BTTS_YES,data/processed/today/2026-05-28/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,7,UNRESOLVED_LEDGER_ROWS,P2,,,,UNKNOWN,data/processed/today/2026-05-28/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-28 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,8,NO_SIGNAL,P3,,,,UNKNOWN,data/processed/today/2026-05-28/vsigma_learning_ledger.csv,improvement_signal,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-28 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,9,UNKNOWN_MARKET,P3,,,,UNKNOWN,data/processed/today/2026-05-28/vsigma_learning_ledger.csv,market_primary,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-28 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-28,2026-05-28T13:47:56+01:00,10,UNKNOWN_RISK,P3,,,,UNKNOWN,data/processed/today/2026-05-28/vsigma_learning_ledger.csv,accuracy_primary_risk,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-28 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
