generated_at,metric,days_observed,total_rows_evaluated,weighted_hit_rate,weighted_avg_abs_error_mid,dominant_bias,dominant_bias_days,latest_status,latest_severity,memory_decision,patch_candidate,recommended_next_action,auto_apply_allowed,source_guard,production_change
2026-05-28T12:58:02+01:00,total_cards,3,13,0.769,2.08,UNDER_ESTIMATE,2,CALIBRATION_OK,LOW,CALIBRATION_STABLE,NO,Keep current model calibration and continue monitoring.,NO,DATED_INPUT_ONLY,NO
2026-05-28T12:58:02+01:00,total_corners,3,15,0.600,2.87,OVER_ESTIMATE,2,MODEL_UNDER_ESTIMATING,LOW,CALIBRATION_STABLE,NO,Keep current model calibration and continue monitoring.,NO,DATED_INPUT_ONLY,NO
2026-05-28T12:58:02+01:00,total_fouls,3,15,0.734,4.80,UNDER_ESTIMATE,2,MODEL_UNDER_ESTIMATING,HIGH,CALIBRATION_STABLE,NO,Keep current model calibration and continue monitoring.,NO,DATED_INPUT_ONLY,NO
2026-05-28T12:58:02+01:00,total_goals,3,16,0.188,1.16,OVER_ESTIMATE,3,MODEL_OVER_ESTIMATING,HIGH,PATCH_CANDIDATE_REVIEW,YES_REVIEW_ONLY,Review lowering total_goals projection/range for matching profiles; do not auto-apply.,NO,DATED_INPUT_ONLY,NO
2026-05-28T12:58:02+01:00,total_shots,3,15,0.733,4.53,OVER_ESTIMATE,2,CALIBRATION_OK,LOW,CALIBRATION_STABLE,NO,Keep current model calibration and continue monitoring.,NO,DATED_INPUT_ONLY,NO
2026-05-28T12:58:02+01:00,total_sot,3,15,0.733,2.20,UNDER_ESTIMATE,1,CALIBRATION_OK,LOW,CALIBRATION_STABLE,NO,Keep current model calibration and continue monitoring.,NO,DATED_INPUT_ONLY,NO
