comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v5_rank,baseline_market,candidate_v2_market,candidate_v5_market,candidate_v5_original_market,candidate_v5_action,baseline_result,candidate_v2_result,candidate_v5_result,baseline_profit_units,candidate_v2_profit_units,candidate_v5_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1535218,America de Cali vs Macara,CONMEBOL Sudamericana,2,2,2,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,UNMATCHED,UNMATCHED,UNMATCHED,,,,2026-05-28,2026-05-29T18:18:22+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-28-20260529T181822Z
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1535314,Boca Juniors vs U. Catolica,CONMEBOL Libertadores,1,1,1,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,UNMATCHED,UNMATCHED,UNMATCHED,,,,2026-05-28,2026-05-29T18:18:22+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-28-20260529T181822Z
