target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,audit_bucket,review_priority,trust_expansion_candidate,audit_reason,suggested_action,auto_apply,production_change
2026-06-18,2026-06-18T17:45:51+01:00,1554469,Friendlies Clubs,World,Austria Klagenfurt,SV Kapfenberg,2026-06-18T17:30:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,CORRECT_REJECT_FRIENDLY_CONTEXT_VOLATILITY,P3_CORRECT_REJECT,NO,friendly context is volatile and low-accountability,"Keep rejected or route to manual-only context review, not scoring.",NO,NO
2026-06-18,2026-06-18T17:45:51+01:00,1554468,Friendlies Clubs,World,Basake Holy Stars,Aduana Stars,2026-06-18T14:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,CORRECT_REJECT_FRIENDLY_CONTEXT_VOLATILITY,P3_CORRECT_REJECT,NO,friendly context is volatile and low-accountability,"Keep rejected or route to manual-only context review, not scoring.",NO,NO
