target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-18,2026-06-18T12:39:45+01:00,1493544,Indy Eleven,Brooklyn,USL Championship,USA,2026-06-17T23:00:00+00:00,PST,100,HIGH_SIGNAL_REVIEW,prediction_winner=Indy Eleven | pred_total_home_away=71.3/28.8 | 1x2=1.64/3.80/4.50 | ou2.5=1.65/2.15,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524965,Lionsbridge,Patuxent,USL League Two,USA,2026-06-17T23:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Lionsbridge | pred_total_home_away=85.7/14.3,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524967,Pittsburgh Riverhounds 2,Lorain County Leviathan,USL League Two,USA,2026-06-17T23:00:00+00:00,FT,55,MEDIUM_SIGNAL_REVIEW,prediction_winner=Lorain County Leviathan | pred_total_home_away=40.0/60.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524970,Sporting Jax 2,Nona,USL League Two,USA,2026-06-17T23:00:00+00:00,FT,90,HIGH_SIGNAL_REVIEW,prediction_winner=Nona | pred_total_home_away=38.2/61.8 | 1x2=5.25/3.60/1.53 | ou2.5=1.77/1.83,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524972,Tobacco Road,Appalachian,USL League Two,USA,2026-06-17T23:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Appalachian | pred_total_home_away=28.3/71.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524974,Virginia Beach City,Bethesda SC,USL League Two,USA,2026-06-17T23:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Virginia Beach City | pred_total_home_away=70.4/29.6,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524441,Virginia Marauders,Charlottesville Blues,USL League Two,USA,2026-06-17T23:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Charlottesville Blues | pred_total_home_away=19.2/80.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524963,Jackson Boom,Red River,USL League Two,USA,2026-06-18T00:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Red River | pred_total_home_away=32.5/67.5,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524968,Rockford Raptors,Sueno,USL League Two,USA,2026-06-18T00:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sueno | pred_total_home_away=28.6/71.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524976,Weston,FC Miami City,USL League Two,USA,2026-06-18T00:00:00+00:00,FT,64,MEDIUM_SIGNAL_REVIEW,prediction_winner=Weston | pred_total_home_away=63.2/37.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1525408,Memphis 901,Little Rock Rangers,USL League Two,USA,2026-06-18T00:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Little Rock Rangers | pred_total_home_away=22.3/77.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
