target_date,generated_at,fixture_id,home_team,away_team,home_sources,away_sources,home_consensus_players,away_consensus_players,home_avg_agreement,away_avg_agreement,home_weighted_agreement,away_weighted_agreement,home_probable_confidence,away_probable_confidence,accepted_home_sources,accepted_away_sources,rejected_home_sources,rejected_away_sources,probable_lineup_gate,missing_reason,source_registry_guard,source_guard,auto_apply,production_change
2026-07-28,2026-07-28T21:42:17+01:00,1494217,IF Brommapojkarna,Hammarby FF,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=vsigma_daily_execution_board.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-07-28,2026-07-28T21:42:17+01:00,1494711,KFUM Oslo,Molde,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=vsigma_daily_execution_board.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-07-28,2026-07-28T21:42:17+01:00,1492307,Remo,Vitoria,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=vsigma_daily_execution_board.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-07-28,2026-07-28T21:42:17+01:00,1494709,Aalesund,Viking,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=vsigma_daily_execution_board.csv; probable_sources=NO_SOURCE_FILE,NO,NO
