date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,recent_schedule_balance_delta,home_recent_schedule_matches_used,away_recent_schedule_matches_used,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_events_checked_last5,away_recent_events_checked_last5,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_confidence_adjustment_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_sample_cleanliness_flag,home_recent_event_coverage_flag,away_recent_event_coverage_flag,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_structure_depth_status,league_coverage_uncertainty_penalty,league_stats_reliability_multiplier,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,recent_lab_context_score,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note
2026-05-15,2026-05-15T19:30:00+01:00,1778869800,Segunda División,141,2025,1392201,NS,Castellón,5254,Cadiz,724,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450667+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.875,0.125,2.0,0.625,1.375,2.125,1.0,0.5,0.125,0.0,0.875,0.5,1.0,0.75,0.625,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.2,10.6,6.6,5.8,53.4,7.0,3.4,17.2,2.6,1.8,4.2,5.0,5.0,1.0,1.0,9.8,13.8,3.0,5.2,44.0,4.8,4.6,11.8,3.0,2.75,3.2,FULL,2026-05-15T16:12:32.043794+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:58.002883+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,136.96,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:02.548519+00:00,6.0,65.0,17.0,39.0,66.0,49.0,0.0,18.0,39.0,-20.0,39.0,36.0,56.0,0.5,22.0,2026-05-15T16:13:08.751664+00:00,1.32,6.5,10.8,1.87,2.1,1.15,6.0,1.48,2.82,2.15,1.8,,,,,,13.0,167.0,4998.0,0.7576,0.1538,0.0926,0.5348,0.4762,0.8696,0.1667,0.6757,0.3546,0.4651,0.5556,,,,,,2026-05-15T16:13:11.067331+00:00,OK,TIER_1,1,spain_segunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.89,3.8,20.0,11.44,0.7619047619047619,0.1904761904761904,26.46,16.0,0.0,0.0,0.0,0.0,2.32,94.21,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T20:00:00+01:00,1778871600,Premier League,39,2025,1379330,NS,Aston Villa,66,Liverpool,40,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,2026-05-15T16:12:09.450737+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.125,1.875,1.25,1.125,1.875,0.75,0.625,0.25,0.125,0.5,0.5,0.75,1.0,0.5,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.6,11.0,4.0,5.4,50.4,5.0,3.8,11.8,1.2,0.4,3.0,5.0,5.0,1.0,1.0,15.0,14.6,4.8,5.4,55.6,5.4,4.6,10.4,1.25,2.4,4.8,FULL,2026-05-15T16:12:27.997623+00:00,8.0,14.0,1.0,1.0,7.6,12.4,FULL,FULL,HIGH,HIGH,FULL,2026-05-15T16:12:57.587461+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,166.96,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:02.258202+00:00,5.0,59.0,4.0,36.0,50.0,46.0,0.5,4.0,59.0,12.0,36.0,60.0,48.0,0.5,20.0,2026-05-15T16:13:08.749708+00:00,3.02,3.8,2.48,1.6,2.45,1.26,4.6,1.81,2.42,2.87,1.49,,,,,,13.0,185.0,5951.0,0.3311,0.2632,0.4032,0.625,0.4082,0.7937,0.2174,0.5525,0.4132,0.3484,0.6711,,,,,,2026-05-15T16:13:10.677605+00:00,OK,TIER_1,1,england_premier_league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,7.6,12.4,0.0,0.0,0.0,20.0,0.1,0.0,1.0,1.0,0.0,17.6,3.8,18.82,14.18,0.7894736842105263,0.8421052631578947,5.75,6.32,0.0,0.0,0.0,0.1,4.21,86.03,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T19:45:00+01:00,1778870700,Jupiler Pro League,144,2025,1536959,NS,OH Leuven,260,Antwerp,740,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450719+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.625,1.25,0.75,1.375,1.75,1.75,0.5,0.75,0.25,0.125,0.375,0.625,0.75,0.875,0.375,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,8.6,15.0,3.2,5.4,48.6,4.8,5.6,12.0,2.4,3.0,2.6,5.0,5.0,1.0,1.0,16.6,11.6,6.2,4.6,58.6,7.6,3.0,14.6,2.4,4.4,4.8,FULL,2026-05-15T16:12:20.398305+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:56.797767+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,151.98,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:01.399578+00:00,6.0,19.0,-20.0,37.0,37.0,57.0,0.0,5.0,27.0,-4.0,37.0,41.0,45.0,0.0,16.0,2026-05-15T16:13:08.746320+00:00,2.89,3.48,2.51,1.72,2.15,1.31,3.75,1.96,1.94,3.32,1.35,,,,,,13.0,146.0,4808.0,0.346,0.2874,0.3984,0.5814,0.4651,0.7634,0.2667,0.5102,0.5155,0.3012,0.7407,,,,,,2026-05-15T16:13:09.835965+00:00,OK,TIER_1,1,belgium_jupiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.83,3.8,12.66,17.72,0.6666666666666667,0.7333333333333334,-8.16,8.98,0.0,0.0,0.0,0.0,2.24,85.05,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T20:00:00+01:00,1778871600,Segunda División,141,2025,1392200,NS,Cordoba,713,Albacete,722,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450743+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.0,1.375,1.625,1.75,1.625,1.375,0.75,0.875,0.125,0.25,0.625,0.625,0.875,0.875,0.75,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.4,13.8,5.8,5.4,53.6,6.0,5.0,17.0,3.2,2.2,3.6,5.0,5.0,1.0,1.0,11.4,15.6,3.4,4.8,41.4,4.8,5.4,11.8,2.4,1.667,3.0,FULL,2026-05-15T16:12:35.658618+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:58.359381+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,166.95,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:02.981568+00:00,9.0,60.0,-1.0,39.0,55.0,56.0,0.0,12.0,53.0,-1.0,39.0,51.0,52.0,0.0,22.0,2026-05-15T16:13:08.753611+00:00,1.7,4.2,5.7,1.62,2.28,1.2,5.0,1.61,2.41,2.55,1.63,,,,,,12.0,168.0,4829.0,0.5882,0.2381,0.1754,0.6173,0.4386,0.8333,0.2,0.6211,0.4149,0.3922,0.6135,,,,,,2026-05-15T16:13:11.492959+00:00,OK,TIER_1,1,spain_segunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.04,3.8,17.1,18.13,0.6190476190476191,0.4761904761904761,2.69,2.96,0.0,0.0,0.0,0.0,1.75,81.75,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T20:00:00+01:00,1778871600,League Two,42,2025,1543763,NS,Notts County,1376,Chesterfield,1345,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450762+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,2.5,1.125,1.375,1.625,0.5,0.75,1.0,0.25,0.5,0.5,0.5,0.875,0.625,0.625,0.25,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.8,9.8,5.8,2.8,60.0,4.6,4.4,12.2,2.2,1.4,2.8,5.0,5.0,1.0,1.0,11.8,12.4,3.4,4.8,55.4,4.6,5.2,10.0,2.25,1.4,3.2,FULL,2026-05-15T16:12:43.641798+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:59.156366+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,166.94,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:03.773936+00:00,5.0,80.0,22.0,46.0,74.0,52.0,0.5,6.0,79.0,15.0,46.0,71.0,56.0,0.5,24.0,2026-05-15T16:13:08.757422+00:00,2.4,3.4,3.25,1.87,2.0,1.33,3.49,2.1,1.85,3.8,1.31,,,,,,13.0,156.0,4479.0,0.4167,0.2941,0.3077,0.5348,0.5,0.7519,0.2865,0.4762,0.5405,0.2632,0.7634,,,,,,2026-05-15T16:13:12.226512+00:00,OK,TIER_2,2,england_league_two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.39,3.8,12.19,16.53,0.8260869565217391,0.782608695652174,-8.54,9.39,0.0,0.0,0.0,0.0,4.17,80.95,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T19:00:00+01:00,1778868000,Serie B,136,2025,1544651,NS,Bari,508,Sudtirol,1578,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450590+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.125,0.375,1.125,0.875,1.875,2.375,0.5,0.75,0.125,0.0,0.375,0.75,1.0,0.875,0.625,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,7.0,15.6,2.0,6.4,34.2,2.0,6.0,13.6,1.6,0.4,1.6,5.0,5.0,1.0,1.0,12.6,12.2,2.8,4.2,42.2,4.4,4.0,14.4,1.4,1.2,3.0,FULL,2026-05-15T16:12:39.602768+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:58.799010+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,106.94,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:03.385392+00:00,17.0,40.0,-22.0,38.0,38.0,60.0,1.0,16.0,41.0,-10.0,38.0,38.0,48.0,0.5,20.0,2026-05-15T16:13:08.755539+00:00,3.1,3.0,2.88,2.15,1.8,1.53,2.75,2.63,1.58,5.25,1.2,,,,,,13.0,171.0,4347.0,0.3226,0.3333,0.3472,0.4651,0.5556,0.6536,0.3636,0.3802,0.6329,0.1905,0.8333,,,,,,2026-05-15T16:13:11.893391+00:00,OK,TIER_1,1,italy_serie_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.25,2.48,15.34,15.19,0.1578947368421053,0.2105263157894736,3.61,3.97,0.0,0.0,0.0,0.0,2.99,80.21,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T18:00:00+01:00,1778864400,Süper Lig,203,2025,1394736,NS,Rizespor,1007,Beşiktaş,549,Turkey,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2026-05-15T16:12:09.450195+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.625,1.625,1.5,1.375,0.875,0.75,0.625,0.125,0.375,0.625,0.375,0.75,0.625,0.625,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.0,13.6,4.8,4.8,51.8,4.8,5.8,14.6,2.8,1.0,4.4,5.0,5.0,1.0,1.0,15.2,11.8,4.2,3.0,59.8,6.8,4.0,11.0,1.4,1.5,4.4,FULL,2026-05-15T16:12:55.240274+00:00,4.0,10.0,1.0,1.0,4.0,8.4,FULL,FULL,HIGH,HIGH,FULL,2026-05-15T16:13:00.403982+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,46.92,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:04.985481+00:00,8.0,40.0,-6.0,33.0,44.0,50.0,0.0,4.0,59.0,19.0,33.0,57.0,38.0,0.5,18.0,2026-05-15T16:13:08.761939+00:00,3.45,3.93,2.18,1.42,2.9,1.16,6.0,1.5,2.8,2.2,1.8,,,,,,13.0,168.0,5163.0,0.2899,0.2545,0.4587,0.7042,0.3448,0.8621,0.1667,0.6667,0.3571,0.4545,0.5556,,,,,,2026-05-15T16:13:13.480318+00:00,OK,TIER_2,2,turkey_super_lig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,4,28.0,OK_FULL_STATS,4.0,8.4,0.0,0.0,0.0,12.4,0.1,0.0,1.0,1.0,0.0,16.69,3.8,14.48,15.68,0.5882352941176471,0.8235294117647058,-8.28,9.11,0.0,0.0,0.0,0.1,3.06,79.76,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T19:15:00+01:00,1778868900,League Two,42,2025,1543762,NS,Salford City,1844,Grimsby,1365,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450653+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,2.0,0.875,2.25,0.5,1.25,0.5,1.0,0.5,0.25,0.25,0.75,0.375,1.0,0.25,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.4,12.0,3.6,2.6,53.8,5.4,4.6,10.6,1.2,1.8,2.6,5.0,5.0,1.0,1.0,12.2,11.8,4.2,2.4,45.2,5.0,5.6,9.8,1.4,1.6,3.6,FULL,2026-05-15T16:12:47.207700+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:59.557046+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,121.93,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:04.179200+00:00,4.0,81.0,10.0,46.0,61.0,51.0,1.0,7.0,78.0,24.0,46.0,74.0,50.0,0.0,24.0,2026-05-15T16:13:08.759377+00:00,2.3,3.41,3.4,1.8,2.04,1.33,3.45,2.01,1.86,3.6,1.32,,,,,,13.0,157.0,4785.0,0.4348,0.2933,0.2941,0.5556,0.4902,0.7519,0.2899,0.4975,0.5376,0.2778,0.7576,,,,,,2026-05-15T16:13:12.670417+00:00,OK,TIER_2,2,england_league_two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.61,3.8,11.31,16.13,0.8695652173913043,0.7391304347826086,-3.36,3.7,0.0,0.0,0.0,0.0,4.17,75.48,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T19:30:00+01:00,1778869800,Ligue 1,61,2025,1544972,NS,Saint Etienne,1063,Rodez,1301,France,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,2026-05-15T16:12:09.450671+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,2.25,1.25,1.5,1.125,0.875,0.625,0.875,0.375,0.25,0.375,0.75,0.875,0.75,0.5,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.4,10.8,4.4,3.4,63.2,6.4,2.2,15.8,1.8,2.6,2.8,5.0,5.0,1.0,1.0,13.8,10.6,4.2,4.4,40.2,3.6,4.8,13.4,2.4,3.8,4.6,FULL,2026-05-15T16:12:24.036135+00:00,22.0,6.0,1.0,1.0,18.4,5.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-15T16:12:57.191083+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,136.97,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:01.752663+00:00,,,,,,,,,,,,,,,18.0,2026-05-15T16:13:08.747557+00:00,1.82,4.0,4.5,1.62,2.38,1.22,5.0,1.68,2.4,2.65,1.56,,,,,,12.0,142.0,3346.0,0.5495,0.25,0.2222,0.6173,0.4202,0.8197,0.2,0.5952,0.4167,0.3774,0.641,,,,,,2026-05-15T16:13:10.287187+00:00,OK,TIER_1,1,france_ligue_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,1,16,4,22.67,OK_FULL_STATS,18.4,5.2,0.0,0.0,0.0,23.6,0.1,0.0,1.0,1.0,0.0,16.35,3.8,12.98,15.2,0.0,0.0,-5.33,5.86,0.0,0.0,0.0,0.1,0.0,74.78,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-15,2026-05-15T19:45:00+01:00,1778870700,Premiership,179,2025,1544662,NS,Partick,901,Dunfermline,1388,Scotland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-15T16:12:09.450728+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,1.5,1.375,1.0,0.625,0.75,0.75,0.5,0.5,0.625,0.5,0.125,0.75,0.625,0.25,0.25,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,0.0,0.0,0.0,,,,,,,,,,,,5.0,1.0,0.2,1.0,,,5.0,0.0,50.0,6.0,0.0,11.0,2.0,3.0,0.0,SPARSE,2026-05-15T16:12:51.238290+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-15T16:12:59.965875+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,151.92,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-15T16:13:04.591655+00:00,,,,,,,,,,,,,,,12.0,2026-05-15T16:13:08.759822+00:00,1.93,3.5,4.61,1.9,2.0,1.38,3.5,2.15,1.9,3.9,1.33,,,,,,12.0,133.0,3639.0,0.5181,0.2857,0.2169,0.5263,0.5,0.7246,0.2857,0.4651,0.5263,0.2564,0.7519,,,,,,2026-05-15T16:13:12.923546+00:00,OK,TIER_2,2,scotland_premiership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,1,7,0,20.42,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.22,0.17,9.1,6.93,0.0,0.0,3.29,3.62,0.0,0.0,0.0,0.0,0.0,57.26,B_ANALIZAR,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
