target_date,generated_at,fixture_id,home_team,away_team,market,candidate_origin,market_direction_source,max_execution_permission,real_data_strength,proxy_reason,allowed_downstream_use,source_files,auto_apply,production_change
2026-07-20,2026-07-20T11:25:29+01:00,1494212,Halmstad,BK Hacken,UNDER_3_5_REVIEW,OBJECTIVE_PROXY,UNDER_CONTROL,NO_BET,21,objective context bridge created diagnostic shortlist row,DIAGNOSTIC_ONLY_NO_MARKET_PERMISSION,vsigma_real_objective_context_gate.csv; vsigma_today_execution_shortlist.csv,NO,NO
2026-07-20,2026-07-20T11:25:29+01:00,1494213,Hammarby FF,Degerfors IF,NO_CLEAR_STAT_MARKET,OBJECTIVE_PROXY,UNKNOWN,NO_BET,21,objective context bridge created diagnostic shortlist row,DIAGNOSTIC_ONLY_NO_MARKET_PERMISSION,vsigma_real_objective_context_gate.csv; vsigma_today_execution_shortlist.csv,NO,NO
2026-07-20,2026-07-20T11:25:29+01:00,1507002,FC Anyang,Gwangju FC,UNDER_3_5_REVIEW,OBJECTIVE_PROXY,UNDER_CONTROL,NO_BET,21,objective context bridge created diagnostic shortlist row,DIAGNOSTIC_ONLY_NO_MARKET_PERMISSION,vsigma_real_objective_context_gate.csv; vsigma_today_execution_shortlist.csv,NO,NO
