target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_status,result_status,home_goals,away_goals,actual_result,prediction_winner,predicted_side,candidate_signal_score,candidate_signal_band,review_priority,market_signal_summary,api_1x2_result,api_double_chance_result,api_dnb_result,over_1_5_result,over_2_5_result,under_3_5_result,btts_result,accuracy_bucket,evaluation_note,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-07-20,2026-07-20T11:25:45+01:00,1494213,Hammarby FF,Degerfors IF,Allsvenskan,Sweden,FT,FINISHED_RESULT,4,0,HOME,Hammarby FF,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Hammarby FF | pred_total_home_away=70.3/29.7 | 1x2=1.22/5.75/13.00 | ou2.5=1.50/2.60,HIT,HIT,HIT,HIT,HIT,MISS,MISS,STRONG_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-07-20,2026-07-20T11:25:45+01:00,1494212,Halmstad,BK Hacken,Allsvenskan,Sweden,FT,FINISHED_RESULT,0,2,AWAY,BK Hacken,AWAY,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=BK Hacken | pred_total_home_away=33.7/66.5 | 1x2=5.20/4.33/1.55 | ou2.5=1.50/2.62,HIT,HIT,HIT,HIT,MISS,HIT,MISS,STRONG_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-07-20,2026-07-20T11:25:45+01:00,1507002,FC Anyang,Gwangju FC,K League 1,South-Korea,FT,FINISHED_RESULT,1,1,DRAW,FC Anyang,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=FC Anyang | pred_total_home_away=65.8/34.2 | 1x2=1.55/3.75/6.25 | ou2.5=2.00/1.80,MISS,HIT,VOID,HIT,MISS,HIT,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
