target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,downstream_use,scored_candidate_status,fixture_detail_available,predictions_available,odds_available,prediction_winner_name,pred_home_total_pct,pred_away_total_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_2_5_odd,under_2_5_odd,market_signal_summary,candidate_signal_score,candidate_signal_band,promotion_input_status,promotion_input_reason,promotion_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-07-20,2026-07-20T11:25:44+01:00,1494213,Hammarby FF,Degerfors IF,Allsvenskan,Sweden,2026-07-19T14:30:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,Hammarby FF,70.3,29.7,1.22,5.75,13.00,1.50,2.60,prediction_winner=Hammarby FF | pred_total_home_away=70.3/29.7 | 1x2=1.22/5.75/13.00 | ou2.5=1.50/2.60,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-07-20,2026-07-20T11:25:44+01:00,1494212,Halmstad,BK Hacken,Allsvenskan,Sweden,2026-07-19T14:30:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,BK Hacken,33.7,66.5,5.20,4.33,1.55,1.50,2.62,prediction_winner=BK Hacken | pred_total_home_away=33.7/66.5 | 1x2=5.20/4.33/1.55 | ou2.5=1.50/2.62,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-07-20,2026-07-20T11:25:44+01:00,1507002,FC Anyang,Gwangju FC,K League 1,South-Korea,2026-07-19T10:30:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,FC Anyang,65.8,34.2,1.55,3.75,6.25,2.00,1.80,prediction_winner=FC Anyang | pred_total_home_away=65.8/34.2 | 1x2=1.55/3.75/6.25 | ou2.5=2.00/1.80,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
