target_date,generated_at,forecast_rank,fixture_id,country,league,home_team,away_team,source_file,market_hint,modal_scoreline,scenario_map,home_goals_low,home_goals_mid,home_goals_high,away_goals_low,away_goals_mid,away_goals_high,total_goals_low,total_goals_mid,total_goals_high,home_shots_low,home_shots_mid,home_shots_high,away_shots_low,away_shots_mid,away_shots_high,total_shots_low,total_shots_mid,total_shots_high,home_sot_low,home_sot_mid,home_sot_high,away_sot_low,away_sot_mid,away_sot_high,total_sot_low,total_sot_mid,total_sot_high,home_corners_low,home_corners_mid,home_corners_high,away_corners_low,away_corners_mid,away_corners_high,total_corners_low,total_corners_mid,total_corners_high,home_cards_low,home_cards_mid,home_cards_high,away_cards_low,away_cards_mid,away_cards_high,total_cards_low,total_cards_mid,total_cards_high,home_fouls_low,home_fouls_mid,home_fouls_high,away_fouls_low,away_fouls_mid,away_fouls_high,total_fouls_low,total_fouls_mid,total_fouls_high,tempo_projection,shot_volume_level,corner_volume_level,card_risk_level,both_teams_threat_level,forecast_confidence,forecast_confidence_score,forecast_warning,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T15:25:19+01:00,1,1535320,World,CONMEBOL Libertadores,Flamengo,Cusco,matches_vsigma_scored_v3.csv,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2-1 / 1-1 / 2-2,both teams carry threat,1.67,2.25,2.83,0.55,0.81,1.07,2.41,3.06,3.72,12,16,19,9,12,15,23,28,33,4,6,8,3,4,6,8,10,13,3,5,7,3,4,6,7,9,12,1,2,3,0,2,3,2,4,5,9,12,15,5,8,10,16,20,23,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,MEDIUM_CARD_RISK,BOTH_TEAMS_THREAT,HIGH,81.6,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,2,1535329,World,CONMEBOL Libertadores,Universitario,Deportes Tolima,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,1-1 / 0-1 / 1-2,both teams carry threat; discipline risk,0.99,1.38,1.76,0.99,1.38,1.76,2.15,2.75,3.35,11,14,17,10,13,16,22,27,32,3,5,6,3,4,6,7,9,12,4,6,8,3,5,6,8,10,13,1,2,4,2,3,4,3,5,7,11,14,17,7,9,12,19,24,28,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,HIGH_CARD_RISK,BOTH_TEAMS_THREAT,HIGH,81.6,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,3,1535230,World,CONMEBOL Sudamericana,Santos,Deportivo Cuenca,matches_vsigma_scored_v3.csv,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1-1 / 0-1 / 1-2,standard state,0.99,1.38,1.76,0.70,1.00,1.30,1.84,2.38,2.91,11,15,18,10,13,16,23,28,33,3,5,6,2,4,6,6,9,11,3,5,7,3,5,7,8,10,13,1,2,3,1,3,4,3,5,7,7,10,13,9,12,15,18,22,27,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,MEDIUM_CARD_RISK,BALANCED_THREAT,HIGH,81.6,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,4,1535319,World,CONMEBOL Libertadores,Estudiantes L.P.,Independiente Medellin,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,1-1 / 0-1 / 1-2,discipline risk,0.89,1.25,1.61,0.65,0.94,1.22,1.69,2.19,2.69,8,11,13,11,14,17,20,25,29,2,3,4,3,5,7,6,8,10,2,4,6,3,5,7,7,9,12,1,3,4,2,3,5,4,6,8,9,11,14,8,10,13,18,22,26,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,HIGH_CARD_RISK,BALANCED_THREAT,HIGH,81.6,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,5,1535229,World,CONMEBOL Sudamericana,San Lorenzo,Deportivo Recoleta,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,1-1 / 0-1 / 1-2,standard state,0.60,0.88,1.15,0.70,1.00,1.30,1.43,1.88,2.32,11,14,17,8,11,14,21,25,30,3,4,6,2,4,5,6,8,10,3,5,7,3,4,6,7,9,12,1,2,3,1,2,3,2,4,6,9,12,15,8,11,14,18,23,27,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,MEDIUM_CARD_RISK,BALANCED_THREAT,HIGH,81.6,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,6,1535326,World,CONMEBOL Libertadores,Club Nacional,Coquimbo Unido,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,2-2 / 1-2 / 2-3,both teams carry threat; discipline risk,1.11,1.62,2.14,1.34,1.94,2.53,2.69,3.56,4.43,8,12,15,10,14,18,20,26,31,3,5,7,4,7,9,8,11,14,2,4,5,5,7,9,8,11,14,1,3,5,1,3,5,4,6,8,4,6,9,7,10,13,13,17,21,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,HIGH_CARD_RISK,BOTH_TEAMS_THREAT,MEDIUM,72.6,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,7,1535227,World,CONMEBOL Sudamericana,Racing Club,Independiente Petrolero,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,2-1 / 1-1 / 2-2,open tempo; both teams carry threat; wide/corner pressure,1.07,1.56,2.06,0.93,1.38,1.82,2.20,2.94,3.67,15,20,25,8,11,14,24,31,37,4,6,9,2,4,6,7,11,14,5,8,10,2,4,5,8,11,14,0,1,3,1,2,4,2,4,6,8,11,14,7,10,13,17,21,26,HIGH_TEMPO,HIGH_SHOT_VOLUME,HIGH_CORNER_VOLUME,MEDIUM_CARD_RISK,BOTH_TEAMS_THREAT,MEDIUM,71.6,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,8,1544608,World,UEFA Europa Conference League,Crystal Palace,Rayo Vallecano,matches_vsigma_scored_v3.csv,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1-1 / 0-1 / 1-2,both teams carry threat; discipline risk,0.88,1.31,1.74,0.97,1.44,1.90,2.05,2.75,3.45,8,12,15,11,15,20,22,27,33,2,4,6,3,5,7,7,10,12,2,4,6,4,6,9,7,10,13,1,2,4,2,4,6,4,7,9,9,12,16,12,16,20,23,28,34,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,HIGH_CARD_RISK,BOTH_TEAMS_THREAT,MEDIUM,71.6,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,9,1535322,World,CONMEBOL Libertadores,Independiente del Valle,Rosario Central,matches_vsigma_scored_v3.csv,OVER_OR_BTTS_CHECK,1-1 / 0-1 / 1-2,standard state,0.88,1.31,1.74,0.97,1.44,1.90,2.05,2.75,3.45,11,15,18,9,13,17,22,28,33,2,4,6,3,5,7,6,8,11,3,6,8,3,5,7,8,11,14,1,2,4,1,2,4,3,5,7,7,11,14,8,12,15,18,22,27,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,MEDIUM_CARD_RISK,BALANCED_THREAT,MEDIUM,71.6,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,10,1535233,World,CONMEBOL Sudamericana,Vasco DA Gama,Barracas Central,matches_vsigma_scored_v3.csv,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1-1 / 0-1 / 1-2,discipline risk,0.84,1.25,1.67,0.56,0.88,1.19,1.56,2.12,2.69,11,15,19,9,13,16,22,27,33,4,6,8,2,4,6,7,10,13,4,6,8,3,5,7,8,11,14,1,3,5,1,2,4,3,5,7,10,14,17,8,12,15,20,25,31,MEDIUM_TEMPO,MEDIUM_SHOT_VOLUME,MEDIUM_CORNER_VOLUME,HIGH_CARD_RISK,BALANCED_THREAT,MEDIUM,71.6,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
