target_date,generated_at,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,actual_status,actual_home_goals,actual_away_goals,actual_total_goals,pred_home_goals_low,pred_home_goals_mid,pred_home_goals_high,home_goals_hit,home_goals_abs_error_mid,pred_away_goals_low,pred_away_goals_mid,pred_away_goals_high,away_goals_hit,away_goals_abs_error_mid,pred_total_goals_low,pred_total_goals_mid,pred_total_goals_high,total_goals_hit,total_goals_abs_error_mid,actual_home_sot,actual_away_sot,actual_total_sot,pred_total_sot_low,pred_total_sot_mid,pred_total_sot_high,total_sot_hit,total_sot_abs_error_mid,actual_home_corners,actual_away_corners,actual_total_corners,total_corners_hit,total_corners_abs_error_mid,actual_home_cards,actual_away_cards,actual_total_cards,total_cards_hit,total_cards_abs_error_mid,actual_home_fouls,actual_away_fouls,actual_total_fouls,total_fouls_hit,total_fouls_abs_error_mid,available_actual_metrics,range_hits,range_misses,forecast_grade,calibration_note,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,HIGH,none,FT,3,0,3,1.67,2.25,2.83,MISS,0.75,0.55,0.81,1.07,MISS,0.81,2.41,3.06,3.72,HIT,0.06,15,1,16,8,10,13,MISS,6.00,9,2,11,HIT,2.00,,,,ACTUAL_UNAVAILABLE,,11,12,23,HIT,3.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_fouls,3,3,C_RANGE_MIXED,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,HIGH,none,FT,0,0,0,0.99,1.38,1.76,MISS,1.38,0.99,1.38,1.76,MISS,1.38,2.15,2.75,3.35,MISS,2.75,2,3,5,7,9,12,MISS,4.00,9,3,12,HIT,2.00,,,,ACTUAL_UNAVAILABLE,,13,19,32,MISS,8.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_fouls,1,5,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535230,Santos,Deportivo Cuenca,HIGH,none,FT,3,0,3,0.99,1.38,1.76,MISS,1.62,0.70,1.00,1.30,MISS,1.00,1.84,2.38,2.91,MISS,0.62,4,3,7,6,9,11,HIT,2.00,3,4,7,MISS,3.00,3,4,7,HIT,2.00,10,12,22,HIT,0.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535319,Estudiantes L.P.,Independiente Medellin,HIGH,none,FT,1,0,1,0.89,1.25,1.61,HIT,0.25,0.65,0.94,1.22,MISS,0.94,1.69,2.19,2.69,MISS,1.19,8,1,9,6,8,10,HIT,1.00,9,5,14,MISS,5.00,2,2,4,HIT,2.00,11,12,23,HIT,1.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,4,3,C_RANGE_MIXED,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,HIGH,none,FT,0,1,1,0.60,0.88,1.15,MISS,0.88,0.70,1.00,1.30,HIT,0.00,1.43,1.88,2.32,MISS,0.88,7,4,11,6,8,10,MISS,3.00,7,4,11,HIT,2.00,3,4,7,MISS,3.00,9,11,20,HIT,3.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,MEDIUM,PARTIAL_RECENT_STATS,FT,1,0,1,1.11,1.62,2.14,MISS,0.62,1.34,1.94,2.53,MISS,1.94,2.69,3.56,4.43,MISS,2.56,3,3,6,8,11,14,MISS,5.00,2,8,10,HIT,1.00,2,4,6,HIT,0.00,11,16,27,MISS,10.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,2,5,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535227,Racing Club,Independiente Petrolero,MEDIUM,LINEUPS_INACTIVE,NS,,,,1.07,1.56,2.06,ACTUAL_UNAVAILABLE,,0.93,1.38,1.82,ACTUAL_UNAVAILABLE,,2.20,2.94,3.67,ACTUAL_UNAVAILABLE,,,,,7,11,14,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1544608,Crystal Palace,Rayo Vallecano,MEDIUM,LINEUPS_INACTIVE,NS,,,,0.88,1.31,1.74,ACTUAL_UNAVAILABLE,,0.97,1.44,1.90,ACTUAL_UNAVAILABLE,,2.05,2.75,3.45,ACTUAL_UNAVAILABLE,,,,,7,10,12,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535322,Independiente del Valle,Rosario Central,MEDIUM,LINEUPS_INACTIVE,NS,,,,0.88,1.31,1.74,ACTUAL_UNAVAILABLE,,0.97,1.44,1.90,ACTUAL_UNAVAILABLE,,2.05,2.75,3.45,ACTUAL_UNAVAILABLE,,,,,6,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535233,Vasco DA Gama,Barracas Central,MEDIUM,LINEUPS_INACTIVE,NS,,,,0.84,1.25,1.67,ACTUAL_UNAVAILABLE,,0.56,0.88,1.19,ACTUAL_UNAVAILABLE,,1.56,2.12,2.69,ACTUAL_UNAVAILABLE,,,,,7,10,13,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
