target_date,generated_at,fixture_id,home_team,away_team,league,forecast_confidence,metric,actual_value,pred_low,pred_mid,pred_high,range_hit,abs_error_mid,direction_error,forecast_warning,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_goals,1.00,1.43,1.88,2.32,MISS,0.88,OVER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_sot,11.00,6.00,8.00,10.00,MISS,3.00,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_shots,40.00,21.00,25.00,30.00,MISS,15.00,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_corners,11.00,7.00,9.00,12.00,HIT,2.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_cards,7.00,2.00,4.00,6.00,MISS,3.00,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535229,San Lorenzo,Deportivo Recoleta,CONMEBOL Sudamericana,HIGH,total_fouls,20.00,18.00,23.00,27.00,HIT,3.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_goals,1.00,2.69,3.56,4.43,MISS,2.56,OVER_ESTIMATE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_sot,6.00,8.00,11.00,14.00,MISS,5.00,OVER_ESTIMATE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_shots,16.00,20.00,26.00,31.00,MISS,10.00,OVER_ESTIMATE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_corners,10.00,8.00,11.00,14.00,HIT,1.00,ON_RANGE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_cards,6.00,4.00,6.00,8.00,HIT,0.00,ON_RANGE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535326,Club Nacional,Coquimbo Unido,CONMEBOL Libertadores,MEDIUM,total_fouls,27.00,13.00,17.00,21.00,MISS,10.00,UNDER_ESTIMATE,PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
