target_date,generated_at,board_rank,fixture_id,home_team,away_team,final_decision,board_bucket,primary_market,secondary_market,stake_band,execution_permission,portfolio_status,context_level,forecast_confidence,forecast_warning,translation_score,kill_switch,stat_profile,key_stat_forecast,prelock_trigger,live_trigger,cancel_trigger,operator_note,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T15:25:19+01:00,1,1535320,Flamengo,Cusco,PRELOCK_REVIEW_LOW_STAKE,CANDIDATE_REVIEW,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,LOW_IF_CONFIRMED,REVIEW_LOW_STAKE,EDGE_ONLY_REVIEW,L5_EDGE_ONLY,HIGH,none,45,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.41-3.72 | shots 23-33 | SoT 8-13 | corners 7-12 | cards 2-5,price remains above minimum; market not over-compressed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",price below minimum or live sample contradicts thesis,"Low stake only if price, lineups and live/prelock signal confirm.",DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,2,1535326,Club Nacional,Coquimbo Unido,PRELOCK_REVIEW_LOW_STAKE,CANDIDATE_REVIEW,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,LOW_IF_CONFIRMED,REVIEW_LOW_STAKE,EDGE_ONLY_REVIEW,L5_EDGE_ONLY,MEDIUM,PARTIAL_RECENT_STATS,37,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.69-4.43 | shots 20-31 | SoT 8-14 | corners 8-14 | cards 4-8,price remains above minimum; market not over-compressed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",price below minimum or live sample contradicts thesis,"Low stake only if price, lineups and live/prelock signal confirm.",DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,3,1544608,Crystal Palace,Rayo Vallecano,LIVE_ONLY,LIVE_CANDIDATE,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,SYMBOLIC_ONLY,LIVE_ONLY,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,MEDIUM,LINEUPS_INACTIVE,25,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.05-3.45 | shots 22-33 | SoT 7-12 | corners 7-13 | cards 4-9,price remains above minimum; market not over-compressed; lineups confirmed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",bad or incomplete lineups,No prematch serious stake; require live tempo and chance confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,4,1535225,Olimpia,A. Italiano,LIVE_ONLY,LIVE_CANDIDATE,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,SYMBOLIC_ONLY,LIVE_ONLY,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,17,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.16-3.84 | shots 20-33 | SoT 6-12 | corners 6-12 | cards 3-9,price remains above minimum; market not over-compressed; lineups confirmed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",bad or incomplete lineups,No prematch serious stake; require live tempo and chance confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,5,1535329,Universitario,Deportes Tolima,STAT_WATCH_ONLY,WATCHLIST,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,STAT_WATCH_ONLY,NO_PORTFOLIO_CONTEXT,,HIGH,none,51,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.15-3.35 | shots 22-32 | SoT 7-12 | corners 8-13 | cards 3-7,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",no portfolio/context confirmation,Statistical signal only; blocked from execution without portfolio/context confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,6,1535227,Racing Club,Independiente Petrolero,STAT_WATCH_ONLY,WATCHLIST,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,STAT_WATCH_ONLY,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,45,NO_PORTFOLIO_CONTEXT,HIGH_TEMPO | HIGH_SHOT_VOLUME | HIGH_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.20-3.67 | shots 24-37 | SoT 7-14 | corners 8-14 | cards 2-6,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",no portfolio/context confirmation; bad or incomplete lineups,Statistical signal only; blocked from execution without portfolio/context confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,7,1535221,Caracas FC,Botafogo,STAT_WATCH_ONLY,WATCHLIST,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,STAT_WATCH_ONLY,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,45,NO_PORTFOLIO_CONTEXT,HIGH_TEMPO | HIGH_SHOT_VOLUME | HIGH_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.16-3.84 | shots 24-38 | SoT 7-13 | corners 8-14 | cards 3-8,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",no portfolio/context confirmation; bad or incomplete lineups,Statistical signal only; blocked from execution without portfolio/context confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,8,1535325,Libertad Asuncion,UCV,STAT_WATCH_ONLY,WATCHLIST,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,STAT_WATCH_ONLY,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,29,NO_PORTFOLIO_CONTEXT,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.35-4.15 | shots 22-35 | SoT 7-13 | corners 8-14 | cards 3-9,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",no portfolio/context confirmation; bad or incomplete lineups,Statistical signal only; blocked from execution without portfolio/context confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,9,1535319,Estudiantes L.P.,Independiente Medellin,NO_BET_OR_WATCH,WEAK_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,HIGH,none,18,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,goals 1.69-2.69 | shots 20-29 | SoT 6-10 | corners 7-12 | cards 4-8,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; no portfolio/context confirmation,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,10,1535322,Independiente del Valle,Rosario Central,NO_BET_OR_WATCH,WEAK_WATCH,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,18,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 2.05-3.45 | shots 22-33 | SoT 6-11 | corners 8-14 | cards 3-7,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; no portfolio/context confirmation; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T15:25:19+01:00,11,1535233,Vasco DA Gama,Barracas Central,NO_BET_OR_WATCH,WEAK_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,-2,NEGATIVE_TRANSLATION_SCORE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,goals 1.56-2.69 | shots 22-33 | SoT 7-13 | corners 8-14 | cards 3-7,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
