target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,prelock_window_minutes,prelock_window_start,useful_prelock_slots,next_useful_prelock_slot,in_window_now,prelock_retained,prelock_decision,prelock_decision_reason,prelock_lineup_state,prelock_odds_state,prelock_availability_state,exclusion_reason,next_action
2026-05-27,2026-05-27T19:14:30+01:00,1544608,UEFA Europa Conference League,Crystal Palace,Rayo Vallecano,OVER_1_5,0.80846,156.432,FAILURE_MODE_LOW_CONVERSION,2026-05-27T20:00+01:00,45.49,90,2026-05-27T18:30+01:00,2026-05-27T19:00+01:00,,YES,YES,PRELOCK_NOT_AVAILABLE,no reliable pre-lock data available; missing data is neutral,LINEUPS_NOT_AVAILABLE,ODDS_NOT_AVAILABLE,AVAILABILITY_NOT_AVAILABLE,PRELOCK_NOT_AVAILABLE,REVIEW_PRELOCK_DECISION
2026-05-27,2026-05-27T19:14:30+01:00,1535322,CONMEBOL Libertadores,Independiente del Valle,Rosario Central,OVER_1_5,0.83216,154.531,FAILURE_MODE_LOW_CONVERSION,2026-05-27T23:00+01:00,225.49,90,2026-05-27T21:30+01:00,2026-05-27T22:00+01:00,2026-05-27T22:00+01:00,NO,NO,,,,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAIT_UNTIL_2026-05-27T22:00+01:00
