summary_scope,metric,rows_total
overall,target_fixtures,10
odds_structure_depth_status,NO_ODDS_FOUND,10
odds_structure_coherence_flag,NO_ODDS_UNCERTAIN,10
odds_total_ladder_shape,UNKNOWN,10
odds_market_translation_hint,ODDS_DEPTH_UNCERTAIN,10
odds_line_aggression_flag,UNKNOWN,10
