summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,14,13,10,8,2,83.4086,0.121795,18.2143,4.6429,2.7857,10.7857
by_final_execution_bucket,APPROVED_PREMIUM,,,,,9,9,9,7,2,82.4456,0.103712,22.5556,6.4444,4.0,12.1111
by_final_execution_bucket,APPROVED_STANDARD,,,,,1,1,1,1,0,72.61,0.093789,9.0,0.0,3.0,6.0
by_final_execution_bucket,DOWNGRADED,,,,,3,3,0,0,0,87.24,0.185377,8.6667,0.0,0.0,8.6667
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,91.38,,17.0,7.0,0.0,10.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,9,9,9,7,2,82.4456,0.103712,22.5556,6.4444,4.0,12.1111
by_bucket_and_governance_status,APPROVED_STANDARD,APPROVED_BY_PROMOTED_RULE,,,,1,1,1,1,0,72.61,0.093789,9.0,0.0,3.0,6.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,,,,3,3,0,0,0,87.24,0.185377,8.6667,0.0,0.0,8.6667
by_bucket_and_governance_status,WATCH,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,,,,1,0,0,0,0,91.38,,17.0,7.0,0.0,10.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,7,7,7,7,0,83.3043,0.122163,22.5714,7.0,4.0,11.5714
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,LEAN_PLAY,,,2,2,2,0,2,79.44,0.039134,22.5,4.5,4.0,14.0
by_bucket_and_final_recommendation,APPROVED_STANDARD,,BET,,,1,1,1,1,0,72.61,0.093789,9.0,0.0,3.0,6.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,3,3,0,0,0,87.24,0.185377,8.6667,0.0,0.0,8.6667
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,1,0,0,0,0,91.38,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,1,1,1,1,0,91.76,0.129431,25.0,7.0,4.0,14.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,94.86,0.10332,25.0,7.0,4.0,14.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,7,7,7,5,2,79.3414,0.100094,21.8571,6.2857,4.0,11.5714
by_bucket_and_execution_verdict,APPROVED_STANDARD,,,WATCH,,1,1,1,1,0,72.61,0.093789,9.0,0.0,3.0,6.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,3,3,0,0,0,87.24,0.185377,8.6667,0.0,0.0,8.6667
by_bucket_and_execution_verdict,WATCH,,,CORE_SHORTLIST,,1,0,0,0,0,91.38,,17.0,7.0,0.0,10.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,9,9,9,7,2,82.4456,0.103712,22.5556,6.4444,4.0,12.1111
by_bucket_and_best_evidence_tier,APPROVED_STANDARD,,,,STANDARD_EVIDENCE,1,1,1,1,0,72.61,0.093789,9.0,0.0,3.0,6.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,GENERIC_BROAD,3,3,0,0,0,87.24,0.185377,8.6667,0.0,0.0,8.6667
by_bucket_and_best_evidence_tier,WATCH,,,,PREMIUM_EVIDENCE,1,0,0,0,0,91.38,,17.0,7.0,0.0,10.0
