target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,prelock_window_minutes,prelock_window_start,useful_prelock_slots,next_useful_prelock_slot,in_window_now,prelock_retained,prelock_decision,prelock_decision_reason,prelock_lineup_state,prelock_odds_state,prelock_availability_state,exclusion_reason,next_action
2026-05-25,2026-05-25T17:38:21+01:00,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,0.85476,155.046,FAILURE_MODE_LOW_CONVERSION,2026-05-25T19:30+01:00,111.65,90,2026-05-25T18:00+01:00,2026-05-25T18:00+01:00;2026-05-25T19:00+01:00,2026-05-25T18:00+01:00,NO,NO,,,,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAIT_UNTIL_2026-05-25T18:00+01:00
2026-05-25,2026-05-25T17:38:21+01:00,1494178,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,0.821525,131.523,FAILURE_MODE_LOW_CONVERSION,2026-05-25T18:00+01:00,21.65,90,2026-05-25T16:30+01:00,2026-05-25T17:00+01:00,,YES,YES,PRELOCK_CONFIRMED,lineups confirmed,LINEUPS_CONFIRMED,ODDS_NOT_AVAILABLE,AVAILABILITY_RISK_ELEVATED,PRELOCK_CONFIRMED,REVIEW_PRELOCK_DECISION
