execution_rank,execution_shortlist_source,fixture_id,date,league,home_team,away_team,market_primary,final_execution_bucket,final_recommendation,execution_score,selection_score,primary_model_prob,primary_odds_used,primary_edge,actionable_result,actionable_profit_units,primary_result,primary_profit_units,ledger_result_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
1,PREMIUM_CORE,1494178,2026-05-25,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,APPROVED_PREMIUM,BET,124.48444444444443,80.6,0.8044,1.8,0.2488444444444444,LOSS,-1.0,LOSS,-1.0,RESULT_AVAILABLE,2026-05-25,2026-05-26T18:07:45+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-25-20260526T180745Z
2,PREMIUM_CORE,1545418,2026-05-25,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,APPROVED_PREMIUM,BET,121.21592592592592,84.05,0.9224,1.35,0.1816592592592593,WIN,0.35,WIN,0.35,RESULT_AVAILABLE,2026-05-25,2026-05-26T18:07:45+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-25-20260526T180745Z
