comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v5_rank,baseline_market,candidate_v2_market,candidate_v5_market,candidate_v5_original_market,candidate_v5_action,baseline_result,candidate_v2_result,candidate_v5_result,baseline_profit_units,candidate_v2_profit_units,candidate_v5_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1494178,IF Elfsborg vs BK Hacken,Allsvenskan,2,2,2,OVER_2_5,OVER_2_5,OVER_1_5,OVER_2_5,PLAYER_IMPACT_DOWNGRADE_GOALS,LOSS,LOSS,WIN,-1.0,-1.0,0.25,2026-05-25,2026-05-26T18:07:45+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-25-20260526T180745Z
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1545418,SC Paderborn 07 vs VfL Wolfsburg,Bundesliga,1,1,1,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,WIN,WIN,WIN,0.35,0.35,0.35,2026-05-25,2026-05-26T18:07:45+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-25-20260526T180745Z
