target_date,generated_at,fixture_id,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_total_goals,actual_home_sot,actual_away_sot,actual_total_sot,actual_home_shots,actual_away_shots,actual_total_shots,actual_home_corners,actual_away_corners,actual_total_corners,actual_home_cards,actual_away_cards,actual_total_cards,actual_home_fouls,actual_away_fouls,actual_total_fouls,actual_home_xg,actual_away_xg,actual_total_xg,actual_home_big,actual_away_big,actual_total_big,available_metrics,actuals_verdict,source_guard,auto_apply,production_change
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,FT,1,1,2,5,4,9,9,15,24,1,6,7,1,3,4,13,7,20,0,0,0,0,0,0,goals; sot; shots; corners; cards; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,FT,1,1,2,8,5,13,19,14,33,2,3,5,6,4,10,14,12,26,0,0,0,0,0,0,goals; sot; shots; corners; cards; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,FT,1,1,2,3,6,9,9,18,27,6,5,11,2,3,5,12,12,24,0,0,0,0,0,0,goals; sot; shots; corners; cards; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
