target_date,generated_at,rank,fixture_id,home_team,away_team,market_primary,adjusted_status,objective_level,dependency_level,opponent_level,draw_level,lineup_level,availability_level,market_level,memory_level,context_level,context_score,policy,auto_apply,production_change
2026-05-25,2026-05-25T20:38:06+01:00,2,1545418,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,WAIT_PRELOCK,PROXY_TEMPO,DEPENDENCY_UNKNOWN,STAKE_UNKNOWN,DRAW_NOT_KEY,WAIT_PRELOCK,AVAIL_ADVISORY,O15_LOW_CONV,MEM_NONE,L7_SOFT_DOWN,48,reduced stake or live,NO,NO
2026-05-25,2026-05-25T20:38:06+01:00,1,1494178,IF Elfsborg,BK Hacken,OVER_2_5,SHADOW_RISK_ONLY,PROXY_TEMPO,DEPENDENCY_UNKNOWN,STAKE_UNKNOWN,DRAW_NOT_KEY,LINEUPS_CONFIRMED,AVAIL_ADVISORY,O25_LOW_CONV,MEM_NONE,L6_REVIEW,34,review only,NO,NO
