target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-08-23,2026-08-23T08:56:54+01:00,1622621,Fenerbahçe,Lyon,UEFA Champions League,World,2,2026,2026-08-18T19:00:00+00:00,FT,Chobani Stadium Fenerbahce Sukru Saracoglu,611,80,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Fenerbahçe,Double chance : Fenerbahçe or draw,62.5,37.5,77,23,56,44,67,33,1.99,3.60,3.45,2.45,1.48,1.80,2.00,3.00,1.38,prediction_winner=Fenerbahçe | pred_total_home_away=62.5/37.5 | 1x2=1.99/3.60/3.45 | ou2.5=1.80/2.00,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-08-23,2026-08-23T08:56:54+01:00,1622620,Dinamo Zagreb,Viking,UEFA Champions League,World,2,2026,2026-08-18T19:00:00+00:00,FT,Stadion Maksimir,620,759,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,,No predictions available,0,0,100,0,100,0,0,100,1.64,4.10,4.65,2.20,1.60,1.57,2.35,2.40,1.55,pred_total_home_away=0/0 | 1x2=1.64/4.10/4.65 | ou2.5=1.57/2.35,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-08-23,2026-08-23T08:56:54+01:00,1547770,Independ. Rivadavia,Fluminense,CONMEBOL Libertadores,World,13,2026,2026-08-18T22:00:00+00:00,PEN,Estadio Malvinas Argentinas,473,124,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Independ. Rivadavia,Double chance : Independ. Rivadavia or draw,65.2,34.8,58,42,67,33,50,50,2.62,2.82,3.00,2.90,1.36,7.00,1.07,1.65,1.95,prediction_winner=Independ. Rivadavia | pred_total_home_away=65.2/34.8 | 1x2=2.62/2.82/3.00 | ou2.5=7.00/1.07,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
