target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-07-30,2026-07-30T11:01:15+01:00,1494217,IF Brommapojkarna,Hammarby FF,Allsvenskan,Sweden,113,2026,2026-07-26T12:00:00+00:00,FT,Grimsta IP,371,363,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Hammarby FF,Double chance : draw or Hammarby FF,34.2,65.8,36,64,39,61,43,57,6.80,4.60,1.40,2.05,1.70,1.50,2.60,2.25,1.65,prediction_winner=Hammarby FF | pred_total_home_away=34.2/65.8 | 1x2=6.80/4.60/1.40 | ou2.5=1.50/2.60,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-07-30,2026-07-30T11:01:15+01:00,1494711,KFUM Oslo,Molde,Eliteserien,Norway,103,2026,2026-07-26T15:00:00+00:00,FT,KFUM Arena,2143,329,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Molde,Double chance : draw or Molde,47.8,52.2,36,64,36,64,54,46,3.00,3.60,2.20,2.40,1.50,1.67,2.15,2.70,1.45,prediction_winner=Molde | pred_total_home_away=47.8/52.2 | 1x2=3.00/3.60/2.20 | ou2.5=1.67/2.15,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-07-30,2026-07-30T11:01:15+01:00,1492307,Remo,Vitoria,Serie A,Brazil,71,2026,2026-07-26T22:30:00+00:00,FT,Mangueirão,1198,136,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Remo,Double chance : Remo or draw,55.3,44.7,50,50,60,40,38,62,2.20,3.40,3.15,2.15,1.62,4.75,1.15,3.55,1.28,prediction_winner=Remo | pred_total_home_away=55.3/44.7 | 1x2=2.20/3.40/3.15 | ou2.5=4.75/1.15,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-07-30,2026-07-30T11:01:15+01:00,1494709,Aalesund,Viking,Eliteserien,Norway,103,2026,2026-07-26T17:15:00+00:00,FT,Color Line Stadion,757,759,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Viking,Double chance : draw or Viking,34.8,65.2,33,67,40,60,37,63,5.80,4.50,1.48,1.95,1.77,1.40,2.88,2.00,1.80,prediction_winner=Viking | pred_total_home_away=34.8/65.2 | 1x2=5.80/4.50/1.48 | ou2.5=1.40/2.88,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
