target_date,generated_at,fixture_id,league,country,home_team,away_team,team_side,source_name,source_url,probable_xi,input_file,import_status,import_reason,quality_score,quality_notes,auto_apply,production_change
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_576343.html,odegaard;aleesami;berglie;tonnessen;hoseth;sandal;rasch;hjorth;hickson;okeke;nunez,data/processed/today/2026-07-30/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=rasch~robin rasch:0.96,hjorth~jonas lange hjorth:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,odegaard;njie;a aleesami;h aleesami;hoseth;hestnes;rasch;hickson;haltvik;dahl;nunez,data/processed/today/2026-07-30/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=njie~bilal njie:0.96,rasch~robin rasch:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,away,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,posiadala;amundsen;oyvann;lund;linnes;hestad;daehli;breivik;lovik;planar;eikrem,data/processed/today/2026-07-30/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=hestad~eirik hestad:0.96,breivik~emil breivik:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494709,,,Aalesund,Viking,home,sportsmole,https://www.sportsmole.co.uk/football/viking-fk/preview/viking-fk-vs-aalesund-prediction-team-news-lineups_519254.html,grytebust;munksgaard;hopland;fallman;kitolano;barmen;segberg;karlsbakk;atanga;kristensen;odemarksbakken,data/processed/today/2026-07-30/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.000,fuzzy_official_overlap=0/11;promotion_gate=8/11,NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494709,,,Aalesund,Viking,away,sportsmole,https://www.sportsmole.co.uk/football/viking-fk/preview/viking-fk-vs-aalesund-prediction-team-news-lineups_519254.html,gunnarsson;bjorshol;diop;brekalo;pattynama;de lanlay;bjarnason;yazbek;tripic;salvesen;d'agostino,data/processed/today/2026-07-30/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.000,fuzzy_official_overlap=0/11;promotion_gate=8/11,NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_576343.html,odegaard;aleesami;berglie;tonnessen;hoseth;sandal;rasch;hjorth;hickson;okeke;nunez,data/processed/governance/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=rasch~robin rasch:0.96,hjorth~jonas lange hjorth:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,odegaard;njie;a aleesami;h aleesami;hoseth;hestnes;rasch;hickson;haltvik;dahl;nunez,data/processed/governance/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=njie~bilal njie:0.96,rasch~robin rasch:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494711,,,KFUM Oslo,Molde,away,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,posiadala;amundsen;oyvann;lund;linnes;hestad;daehli;breivik;lovik;planar;eikrem,data/processed/governance/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.182,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=hestad~eirik hestad:0.96,breivik~emil breivik:0.96",NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494709,,,Aalesund,Viking,home,sportsmole,https://www.sportsmole.co.uk/football/viking-fk/preview/viking-fk-vs-aalesund-prediction-team-news-lineups_519254.html,grytebust;munksgaard;hopland;fallman;kitolano;barmen;segberg;karlsbakk;atanga;kristensen;odemarksbakken,data/processed/governance/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.000,fuzzy_official_overlap=0/11;promotion_gate=8/11,NO,NO
2026-07-30,2026-07-30T19:54:31+01:00,1494709,,,Aalesund,Viking,away,sportsmole,https://www.sportsmole.co.uk/football/viking-fk/preview/viking-fk-vs-aalesund-prediction-team-news-lineups_519254.html,gunnarsson;bjorshol;diop;brekalo;pattynama;de lanlay;bjarnason;yazbek;tripic;salvesen;d'agostino,data/processed/governance/probable_lineup_sources_autonomous.csv,QUARANTINED,official_overlap_too_low,0.000,fuzzy_official_overlap=0/11;promotion_gate=8/11,NO,NO
