date,result,provider,fixtures_returned,fixture_id,status_short,home_team,away_team,score_fulltime_home,score_fulltime_away
2026-04-27,OK,API-SPORTS_DIRECT,185.0,,,,,,
2026-04-27T00:00:00+01:00,MATCHED,,,1490250.0,FT,Los Angeles Galaxy,Real Salt Lake,2.0,1.0
2026-04-27T00:30:00+01:00,MATCHED,,,1492231.0,FT,Atletico-MG,Flamengo,0.0,4.0
2026-04-27T00:30:00+01:00,MATCHED,,,1492236.0,FT,Fluminense,Chapecoense-sc,2.0,1.0
2026-04-27T15:00:00+01:00,MATCHED,,,1394703.0,FT,Alanyaspor,Samsunspor,2.0,3.0
2026-04-27T17:30:00+01:00,MATCHED,,,1378195.0,FT,Cagliari,Atalanta,3.0,2.0
2026-04-27T18:00:00+01:00,MATCHED,,,1394705.0,FT,Beşiktaş,Fatih Karagümrük,0.0,0.0
2026-04-27T18:00:00+01:00,MATCHED,,,1394711.0,FT,Konyaspor,Trabzonspor,2.0,1.0
2026-04-27T18:00:00+01:00,MATCHED,,,1494145.0,FT,AIK Stockholm,Malmo FF,0.0,1.0
2026-04-27T18:00:00+01:00,MATCHED,,,1494149.0,FT,BK Hacken,Sirius,2.0,2.0
2026-04-27T18:00:00+01:00,MATCHED,,,1494150.0,FT,Kalmar FF,IF Elfsborg,2.0,1.0
2026-04-27T18:00:00+01:00,MATCHED,,,1494151.0,FT,Mjallby AIF,Halmstad,2.0,0.0
2026-04-27T18:00:00+01:00,MATCHED,,,1494152.0,FT,Orgryte IS,Degerfors IF,1.0,1.0
2026-04-27T18:00:00+01:00,MATCHED,,,1530549.0,FT,FC Copenhagen,Vejle,3.0,0.0
2026-04-27T19:30:00+01:00,MATCHED,,,1392166.0,FT,Cadiz,Las Palmas,1.0,2.0
2026-04-27T19:30:00+01:00,MATCHED,,,1541760.0,AET,Beerschot VA,Patro Eisden,2.0,2.0
2026-04-27T19:30:00+01:00,MATCHED,,,1541761.0,FT,Liège,Lommel United,1.0,2.0
2026-04-27T19:45:00+01:00,MATCHED,,,1378198.0,FT,Lazio,Udinese,3.0,3.0
2026-04-27T19:45:00+01:00,MATCHED,,,1389388.0,FT,Boulogne,Dunkerque,2.0,6.0
2026-04-27T20:00:00+01:00,MATCHED,,,1379305.0,FT,Manchester United,Brentford,2.0,1.0
2026-04-27T20:00:00+01:00,MATCHED,,,1391132.0,FT,Espanyol,Levante,0.0,0.0
2026-04-27T20:15:00+01:00,MATCHED,,,1396512.0,FT,GIL Vicente,Casa Pia,2.0,1.0
