shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate
28,WATCHLIST,WATCH,2026-05-09,Spain,La Liga,1391166,Real Sociedad,Real Betis,84.46,78.56,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6522,1.71,0.5847953216374269,0.06740467836257313,0.8484,1.21,0.8264462809917356,0.021953719008264483,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.52 | visitante 1.84,Market edge primario: prob 0.652 | impl 0.585 | edge +0.067,Bias lado: -0.71 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,9.0,5.0,0.0,0.5,1.125,1.25,1.75,1.5,1.75,1.375,0.75,0.875,0.125,0.25,0.625,0.75,0.75,0.875,0.625,0.5
29,WATCHLIST,WATCH,2026-05-09,Switzerland,Super League,1538474,FC Winterthur,Lausanne,83.35,78.15,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,UNDER_3_5,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.6363,1.55,0.6451612903225806,-0.00886129032258065,0.5852,1.68,0.5952380952380952,-0.01003809523809518,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.48 | visitante 1.80,Market edge primario: prob 0.636 | impl 0.645 | edge -0.009,Bias lado: -1.14 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,6.0,3.0,0.0,0.5,0.75,1.5,1.25,1.375,2.0,2.0,0.75,0.625,0.0,0.125,0.75,0.5,1.0,1.0,0.5,0.875
30,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388603,VfB Stuttgart,Bayer Leverkusen,83.08,77.38,HIGH,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.9224,1.11,0.9009009009009008,0.021499099099099195,0.7904,1.35,0.7407407407407407,0.04965925925925929,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,,,Proj goles: local 2.03 | visitante 2.18,Market edge primario: prob 0.922 | impl 0.901 | edge +0.021,Bias lado: -0.30 | tie=nan | hint=OVER_OR_BTTS_CHECK,5.0,4.0,0.5,0.5,1.375,1.625,2.125,2.125,1.875,1.75,0.75,0.75,0.125,0.125,0.625,0.625,1.0,0.875,0.625,0.625
31,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1390011,Annecy,Rodez,82.95,77.05,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,OVER_2_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8313,1.28,0.78125,0.05005000000000004,0.624,1.85,0.5405405405405405,0.08345945945945954,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.40 | visitante 1.82,Market edge primario: prob 0.831 | impl 0.781 | edge +0.050,Bias lado: -0.84 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,7.0,5.0,0.0,0.5,1.625,2.25,1.75,1.5,1.5,0.875,0.625,0.875,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.5
32,WATCHLIST,WATCH,2026-05-09,Turkey,Süper Lig,1394727,Göztepe,Gaziantep FK,82.81,77.61,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6401,1.77,0.5649717514124294,0.07512824858757061,0.8412,1.24,0.8064516129032259,0.03474838709677408,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.02 | visitante 1.28,Market edge primario: prob 0.640 | impl 0.565 | edge +0.075,Bias lado: +1.49 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,5.0,11.0,0.5,0.0,1.25,1.0,1.625,1.375,1.5,1.75,1.0,0.75,0.25,0.125,0.75,0.625,1.0,1.0,0.5,0.625
33,WATCHLIST,WATCH,2026-05-09,USA,Major League Soccer,1490267,Toronto FC,Inter Miami,82.66,77.46,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,BTTS_YES,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7993,1.5,0.6666666666666666,0.13263333333333338,0.7675,1.5,0.6666666666666666,0.10083333333333333,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.84 | visitante 2.44,Market edge primario: prob 0.799 | impl 0.667 | edge +0.133,Bias lado: -1.08 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,8.0,3.0,0.0,1.0,1.25,1.625,1.875,2.125,2.0,1.75,1.0,1.0,0.0,0.125,1.0,0.875,1.0,1.0,0.75,0.625
34,WATCHLIST,WATCH,2026-05-09,Scotland,Premiership,1540011,Aberdeen,Dundee Utd,82.14,76.94,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_2_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,24,10,0,14,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.5383,3.41,0.29325513196480935,0.24504486803519065,0.6461,1.88,0.5319148936170213,0.11418510638297874,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.31 | visitante 2.02,Market edge primario: prob 0.538 | impl 0.293 | edge +0.245,Bias lado: -1.27 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,2.0,1.0,1.0,1.0,1.0,1.625,1.0,1.875,1.75,1.75,0.75,0.875,0.25,0.25,0.5,0.625,0.875,1.0,0.5,0.875
35,WATCHLIST,WATCH,2026-05-09,Switzerland,Super League,1538476,FC Luzern,Servette FC,81.37,76.17,MEDIUM_HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7809,1.54,0.6493506493506493,0.1315493506493507,0.9179,1.17,0.8547008547008548,0.06319914529914528,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.80 | visitante 2.34,Market edge primario: prob 0.781 | impl 0.649 | edge +0.132,Bias lado: -0.87 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,2.0,1.0,1.0,1.625,2.125,2.0,2.5,1.5,1.125,0.875,1.0,0.125,0.375,0.75,0.625,1.0,1.0,1.0,0.625
36,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389408,Nancy,Dunkerque,80.44,74.54,MEDIUM_HIGH,2-2 / 2-1 / 1-2,OVER_1_5,UNDER_3_5,THIN,WATCH,WATCH,WATCH,WATCH,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.8138,1.25,0.8,0.013799999999999923,0.6274,1.45,0.6896551724137931,-0.06225517241379319,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.38 | visitante 1.71,Market edge primario: prob 0.814 | impl 0.800 | edge +0.014,Bias lado: -0.53 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,15.0,10.0,1.0,0.0,0.875,0.625,1.25,1.25,2.125,1.875,0.75,0.625,0.125,0.0,0.75,0.625,0.875,0.75,0.625,0.375
37,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389406,RED Star FC 93,Montpellier,79.14,73.24,MEDIUM_HIGH,1-1 / 2-1 / 1-2,OVER_1_5,UNDER_3_5,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.7947,1.25,0.8,-0.005300000000000082,0.6564,1.45,0.6896551724137931,-0.033255172413793166,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.50 | visitante 1.46,Market edge primario: prob 0.795 | impl 0.800 | edge -0.005,Bias lado: +0.22 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,8.0,0.5,0.0,2.0,1.875,1.75,1.5,1.375,0.625,0.75,0.75,0.375,0.625,0.5,0.375,0.625,0.75,0.5,0.5
38,WATCHLIST,WATCH,2026-05-09,Turkey,Süper Lig,1394724,Eyüpspor,Rizespor,78.85,73.65,MEDIUM_HIGH,1-2 / 0-1 / 1-1,AWAY_WIN,UNDER_3_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,24,10,0,14,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.5964,2.75,0.36363636363636365,0.2327636363636364,0.732,1.44,0.6944444444444444,0.037555555555555564,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.84 | visitante 1.78,Market edge primario: prob 0.596 | impl 0.364 | edge +0.233,Bias lado: -1.73 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,14.0,8.0,0.5,0.0,0.875,1.625,0.875,1.625,1.25,1.375,0.5,0.75,0.125,0.125,0.375,0.625,0.625,0.75,0.5,0.625
39,WATCHLIST,WATCH,2026-05-09,Austria,Bundesliga,1531281,Grazer AK,SCR Altach,78.63,73.43,MEDIUM_HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.8165,1.44,0.6944444444444444,0.12205555555555558,0.6005,2.38,0.42016806722689076,0.18033193277310927,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.04 | visitante 1.07,Market edge primario: prob 0.817 | impl 0.694 | edge +0.122,Bias lado: +1.47 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,2.0,0.5,1.0,1.625,0.75,1.875,1.125,0.875,2.125,0.75,0.75,0.25,0.25,0.5,0.625,0.75,0.75,0.5,0.625
40,WATCHLIST,WATCH,2026-05-09,Austria,Bundesliga,1531282,Ried,Wolfsberger AC,78.08,72.88,MEDIUM_HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7851,1.38,0.7246376811594204,0.06046231884057962,0.6849,1.31,0.7633587786259541,-0.07845877862595418,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.50 | visitante 0.87,Market edge primario: prob 0.785 | impl 0.725 | edge +0.060,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,5.0,1.0,0.0,1.375,1.125,1.375,0.875,1.25,1.25,0.75,0.5,0.25,0.375,0.625,0.375,0.75,0.625,0.5,0.375
41,WATCHLIST,WATCH,2026-05-09,Turkey,Süper Lig,1394729,Konyaspor,Fenerbahçe,77.42,72.22,MEDIUM_HIGH,2-2 / 2-1 / 1-2,BTTS_YES,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6347,1.77,0.5649717514124294,0.06972824858757065,0.8274,1.22,0.819672131147541,0.007727868852459019,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.65 | visitante 1.54,Market edge primario: prob 0.635 | impl 0.565 | edge +0.070,Bias lado: -0.18 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,9.0,2.0,0.0,1.0,2.375,1.625,1.75,1.75,0.75,1.25,1.0,0.625,0.625,0.25,0.375,0.375,0.625,0.75,0.5,0.625
42,WATCHLIST,WATCH,2026-05-09,Switzerland,Super League,1538475,FC Zurich,Grasshoppers,76.95,71.75,MEDIUM_HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_WIN,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6856,1.51,0.6622516556291391,0.023348344370860863,0.5446,2.63,0.3802281368821293,0.16437186311787066,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.78 | visitante 1.05,Market edge primario: prob 0.686 | impl 0.662 | edge +0.023,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,5.0,0.5,0.0,0.5,0.375,1.0,0.75,1.875,2.875,0.75,0.5,0.0,0.125,0.75,0.375,0.875,1.0,0.875,0.625
43,WATCHLIST,WATCH,2026-05-09,Austria,Bundesliga,1531283,WSG Wattens,FC BW Linz,76.68,71.48,MEDIUM_HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_WIN,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8374,1.33,0.7518796992481203,0.08552030075187977,0.6251,2.52,0.3968253968253968,0.22827460317460319,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.08 | visitante 2.19,Market edge primario: prob 0.837 | impl 0.752 | edge +0.086,Bias lado: -1.59 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,3.0,6.0,0.5,0.0,1.0,1.625,1.0,2.0,2.375,1.125,0.625,0.75,0.25,0.5,0.5,0.375,0.75,0.875,0.75,0.75
44,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388596,FC Augsburg,Borussia Mönchengladbach,75.97,70.27,MEDIUM_HIGH,2-2 / 2-1 / 1-2,UNDER_3_5,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6251,1.8,0.5555555555555556,0.06954444444444441,0.8152,1.15,0.8695652173913044,-0.0543652173913044,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,,,Proj goles: local 1.57 | visitante 1.53,Market edge primario: prob 0.625 | impl 0.556 | edge +0.070,Bias lado: +0.08 | tie=nan | hint=OVER_OR_BTTS_CHECK,9.0,11.0,0.0,0.0,1.125,1.25,1.5,1.25,1.875,1.375,0.875,0.75,0.0,0.375,0.875,0.5,1.0,0.625,0.625,0.375
