shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,final_execution_bucket,final_execution_reason,final_execution_bucket_order
13,WATCHLIST,WATCH,2026-05-09,Belgium,Jupiler Pro League,1536976,Zulte Waregem,Dender,91.55,85.65,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,HOME_DNB,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.6169,1.6,0.625,-0.0080999999999999,0.6295,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.13 | visitante 1.01,Market edge primario: prob 0.617 | impl 0.625 | edge -0.008,Bias lado: +2.03 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,13.0,16.0,0.5,1.0,2.0,0.875,1.75,1.125,1.0,2.0,0.75,0.875,0.375,0.125,0.375,0.75,0.75,0.875,0.5,0.75,BLOCKED,Candidate is explicitly non-executable after final recommendation or execution governance.,4
29,WATCHLIST,WATCH,2026-05-09,Switzerland,Super League,1538474,FC Winterthur,Lausanne,83.35,78.15,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,UNDER_3_5,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.6363,1.55,0.6451612903225806,-0.0088612903225806,0.5852,1.68,0.5952380952380952,-0.0100380952380951,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.48 | visitante 1.80,Market edge primario: prob 0.636 | impl 0.645 | edge -0.009,Bias lado: -1.14 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,6.0,3.0,0.0,0.5,0.75,1.5,1.25,1.375,2.0,2.0,0.75,0.625,0.0,0.125,0.75,0.5,1.0,1.0,0.5,0.875,BLOCKED,Candidate is explicitly non-executable after final recommendation or execution governance.,4
37,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389406,RED Star FC 93,Montpellier,79.14,73.24,MEDIUM_HIGH,1-1 / 2-1 / 1-2,OVER_1_5,UNDER_3_5,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.7947,1.25,0.8,-0.0053,0.6564,1.45,0.6896551724137931,-0.0332551724137931,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.50 | visitante 1.46,Market edge primario: prob 0.795 | impl 0.800 | edge -0.005,Bias lado: +0.22 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,8.0,0.5,0.0,2.0,1.875,1.75,1.5,1.375,0.625,0.75,0.75,0.375,0.625,0.5,0.375,0.625,0.75,0.5,0.5,BLOCKED,Candidate is explicitly non-executable after final recommendation or execution governance.,4
64,WATCHLIST,WATCH,2026-05-09,Turkey,Süper Lig,1394722,Başakşehir,Samsunspor,67.86,64.36,MEDIUM,2-2 / 2-1 / 1-2,OVER_1_5,UNDER_3_5,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,1,0,0,1,GENERIC_BROAD,odds_num <= 2.57,odds_num <= 2.57,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.8194,1.21,0.8264462809917356,-0.0070462809917355,0.6184,1.55,0.6451612903225806,-0.0267612903225806,B_ANALIZAR,OVER_OR_BTTS_CHECK,,,Proj goles: local 1.46 | visitante 1.67,Market edge primario: prob 0.819 | impl 0.826 | edge -0.007,Bias lado: -0.36 | tie=nan | hint=OVER_OR_BTTS_CHECK,6.0,7.0,0.0,0.0,1.5,2.125,1.375,1.875,1.0,1.375,0.625,0.875,0.5,0.25,0.375,0.75,0.75,0.75,0.625,0.75,BLOCKED,Candidate is explicitly non-executable after final recommendation or execution governance.,4
