date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason
2026-05-09,2. Bundesliga,79,2025,1388908,NS,1. FC Nürnberg,171,FC Schalke 04,174,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.729929+00:00,8.0,8.0,1.5,2.5,1.25,1.875,1.0,0.875,0.75,1.0,0.25,0.375,0.5,0.625,0.75,0.625,0.25,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,9.0,42.0,-1.0,32.0,41.0,42.0,0.0,1.0,67.0,21.0,32.0,49.0,28.0,1.0,18.0,2026-05-09T12:18:27.934867+00:00,2.37,3.7,3.1,1.5,2.55,1.2,5.0,1.62,2.38,2.55,1.57,,,,,,13.0,122.0,3687.0,0.4219,0.2703,0.3226,0.6667,0.3922,0.8333,0.2,0.6173,0.4202,0.3922,0.6369,,,,,,2026-05-09T12:18:29.197481+00:00,OK,TIER_1,1,germany_2_bundesliga
2026-05-09,Bundesliga,78,2025,1388600,NS,1899 Hoffenheim,167,Werder Bremen,162,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727438+00:00,8.0,8.0,1.5,1.25,1.875,1.5,2.125,1.625,0.875,0.875,0.0,0.125,0.875,0.75,1.0,0.875,0.875,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,6.0,58.0,16.0,32.0,64.0,48.0,0.0,15.0,32.0,-20.0,32.0,37.0,57.0,1.0,18.0,2026-05-09T12:18:27.936448+00:00,1.54,5.28,6.04,1.5,2.63,1.12,7.5,1.38,3.2,1.99,1.95,,,,,,13.0,176.0,5944.0,0.6494,0.1894,0.1656,0.6667,0.3802,0.8929,0.1333,0.7246,0.3125,0.5025,0.5128,,,,,,2026-05-09T12:18:29.208010+00:00,OK,TIER_1,1,germany_bundesliga
2026-05-09,Bundesliga,78,2025,1388596,NS,FC Augsburg,170,Borussia Mönchengladbach,163,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727435+00:00,8.0,8.0,1.125,1.25,1.5,1.25,1.875,1.375,0.875,0.75,0.0,0.375,0.875,0.5,1.0,0.625,0.625,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,9.0,40.0,-14.0,32.0,42.0,56.0,0.0,11.0,35.0,-13.0,32.0,37.0,50.0,0.0,18.0,2026-05-09T12:18:27.937657+00:00,2.03,4.1,3.66,1.44,2.88,1.15,6.5,1.57,2.89,2.2,1.8,,,,,,13.0,182.0,5985.0,0.4926,0.2439,0.2732,0.6944,0.3472,0.8696,0.1538,0.6369,0.346,0.4545,0.5556,,,,,,2026-05-09T12:18:29.216990+00:00,OK,TIER_1,1,germany_bundesliga
2026-05-09,Bundesliga,78,2025,1388602,NS,RB Leipzig,173,FC St. Pauli,186,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727441+00:00,8.0,8.0,2.25,0.375,2.125,0.5,1.125,1.875,0.875,0.5,0.25,0.125,0.625,0.5,0.75,0.875,0.75,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,3.0,62.0,21.0,32.0,63.0,42.0,1.0,17.0,26.0,-28.0,32.0,27.0,55.0,1.0,18.0,2026-05-09T12:18:27.938880+00:00,1.35,5.94,9.5,1.8,2.15,1.14,6.5,1.45,2.89,2.17,1.81,,,,,,13.0,175.0,5641.0,0.7407,0.1684,0.1053,0.5556,0.4651,0.8772,0.1538,0.6897,0.346,0.4608,0.5525,,,,,,2026-05-09T12:18:29.224867+00:00,OK,TIER_1,1,germany_bundesliga
2026-05-09,Bundesliga,78,2025,1388603,NS,VfB Stuttgart,172,Bayer Leverkusen,168,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727444+00:00,8.0,8.0,1.375,1.625,2.125,2.125,1.875,1.75,0.75,0.75,0.125,0.125,0.625,0.625,1.0,0.875,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,58.0,20.0,32.0,66.0,46.0,0.5,4.0,58.0,23.0,32.0,66.0,43.0,0.5,18.0,2026-05-09T12:18:27.940310+00:00,2.28,4.16,2.96,1.33,3.4,1.11,8.0,1.35,3.4,1.9,2.05,,,,,,13.0,183.0,6174.0,0.4386,0.2404,0.3378,0.7519,0.2941,0.9009,0.125,0.7407,0.2941,0.5263,0.4878,,,,,,2026-05-09T12:18:29.234192+00:00,OK,TIER_1,1,germany_bundesliga
2026-05-09,Bundesliga,78,2025,1388604,NS,VfL Wolfsburg,161,Bayern München,157,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.729392+00:00,8.0,8.0,0.75,2.125,1.125,3.375,1.75,2.125,0.75,1.0,0.125,0.25,0.75,0.75,0.75,1.0,0.5,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,16.0,26.0,-25.0,32.0,42.0,67.0,1.0,1.0,83.0,81.0,32.0,116.0,35.0,1.0,18.0,2026-05-09T12:18:27.941548+00:00,5.07,5.02,1.62,1.33,3.3,1.08,9.5,1.25,4.33,1.67,2.41,,,,,,13.0,182.0,6378.0,0.1972,0.1992,0.6173,0.7519,0.303,0.9259,0.1053,0.8,0.2309,0.5988,0.4149,,,,,,2026-05-09T12:18:29.241691+00:00,OK,TIER_1,1,germany_bundesliga
2026-05-09,Jupiler Pro League,144,2025,1542944,NS,Beerschot VA,263,Lommel United,259,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.729385+00:00,8.0,8.0,2.125,2.0,2.375,2.125,1.5,1.25,1.0,0.875,0.25,0.125,0.75,0.75,0.875,0.875,0.75,0.875,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,,,,,,,,,,,,,,,16.0,2026-05-09T12:18:27.941823+00:00,1.99,4.0,3.7,1.62,2.3,1.23,4.33,1.7,2.2,2.7,1.5,,,,,,13.0,105.0,2985.0,0.5025,0.25,0.2703,0.6173,0.4348,0.813,0.2309,0.5882,0.4545,0.3704,0.6667,,,,,,2026-05-09T12:18:29.249596+00:00,OK,TIER_1,1,belgium_jupiler
2026-05-09,Jupiler Pro League,144,2025,1536997,NS,Club Brugge KV,569,St. Truiden,735,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.730021+00:00,8.0,8.0,2.625,1.25,3.0,1.25,1.125,1.125,1.0,0.625,0.125,0.25,0.875,0.5,1.0,0.625,0.875,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,2.0,63.0,23.0,30.0,59.0,36.0,1.0,3.0,57.0,12.0,30.0,47.0,35.0,0.5,16.0,2026-05-09T12:18:27.943040+00:00,1.47,5.4,6.5,1.57,2.5,1.13,6.75,1.44,3.0,2.02,1.88,,,,,,13.0,146.0,4760.0,0.6803,0.1852,0.1538,0.6369,0.4,0.885,0.1481,0.6944,0.3333,0.495,0.5319,,,,,,2026-05-09T12:18:29.256143+00:00,OK,TIER_1,1,belgium_jupiler
2026-05-09,Jupiler Pro League,144,2025,1536977,NS,RAAL La Louvière,5902,Cercle Brugge,741,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727814+00:00,8.0,8.0,0.625,1.625,1.125,2.25,2.25,1.75,0.375,1.0,0.125,0.125,0.375,0.875,0.75,1.0,0.625,1.0,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,15.0,31.0,-7.0,30.0,30.0,37.0,1.0,14.0,31.0,-8.0,30.0,39.0,47.0,1.0,16.0,2026-05-09T12:18:27.944253+00:00,3.0,3.76,2.38,1.53,2.63,1.19,5.36,1.69,2.49,2.55,1.61,,,,,,13.0,141.0,4633.0,0.3333,0.266,0.4202,0.6536,0.3802,0.8403,0.1866,0.5917,0.4016,0.3922,0.6211,,,,,,2026-05-09T12:18:29.262708+00:00,OK,TIER_1,1,belgium_jupiler
2026-05-09,Jupiler Pro League,144,2025,1536976,NS,Zulte Waregem,600,Dender,6215,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-09T12:18:24.727810+00:00,8.0,8.0,2.0,0.875,1.75,1.125,1.0,2.0,0.75,0.875,0.375,0.125,0.375,0.75,0.75,0.875,0.5,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,13.0,32.0,-9.0,30.0,38.0,47.0,0.5,16.0,19.0,-27.0,30.0,24.0,51.0,1.0,16.0,2026-05-09T12:18:27.945939+00:00,1.58,4.5,5.65,1.7,2.25,1.19,5.11,1.6,2.49,2.5,1.6,,,,,,13.0,141.0,4655.0,0.6329,0.2222,0.177,0.5882,0.4444,0.8403,0.1957,0.625,0.4016,0.4,0.625,,,,,,2026-05-09T12:18:29.270366+00:00,OK,TIER_1,1,belgium_jupiler
