date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,team_edge_score,team_edge_raw,home_goal_path_score,away_goal_path_score,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,data_enrichment_level
2026-05-09,Belgium,Jupiler Pro League,TIER_1,1536976,Zulte Waregem,Dender,NS,85.65,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,2.72,14.09,14.84,13.49,15.16,10.18,13.0,16.0,32.0,19.0,-9.0,-27.0,0.5,1.0,2.0,0.875,1.75,1.125,1.0,2.0,0.75,0.875,0.375,0.125,0.375,0.75,0.75,0.875,0.5,0.75,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Germany,Bundesliga,TIER_1,1388600,1899 Hoffenheim,Werder Bremen,NS,85.17,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,3.01,16.52,11.64,10.58,15.18,15.58,6.0,15.0,58.0,32.0,16.0,-20.0,0.0,1.0,1.5,1.25,1.875,1.5,2.125,1.625,0.875,0.875,0.0,0.125,0.875,0.75,1.0,0.875,0.875,0.625,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Spain,Segunda División,TIER_1,1392189,Albacete,Cultural Leonesa,NS,85.08,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,2.29,13.63,15.16,13.78,14.74,10.04,13.0,22.0,50.0,33.0,-2.0,-27.0,0.0,1.0,1.375,0.75,1.75,0.875,1.375,1.625,0.875,0.75,0.25,0.125,0.625,0.625,0.875,0.75,0.625,0.5,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Italy,Serie A,TIER_1,1378218,Lecce,Juventus,NS,84.47,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,4.0,10.47,16.0,-26.72,3.95,13.16,17.0,4.0,32.0,65.0,-23.0,28.0,1.0,0.5,1.0,2.25,0.75,1.5,1.375,0.25,0.5,0.875,0.125,0.75,0.5,0.25,0.75,0.625,0.5,0.125,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,USA,Major League Soccer,TIER_2,1490266,Chicago Fire,New York Red Bulls,NS,84.43,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,4.08,17.35,16.0,15.35,18.0,12.88,4.0,11.0,17.0,12.0,8.0,-11.0,1.0,0.0,2.0,1.0,2.125,1.875,1.25,2.5,1.0,0.75,0.375,0.0,0.625,0.75,0.75,1.0,0.75,0.75,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Spain,Segunda División,TIER_1,1392191,Malaga,Sporting Gijon,NS,83.38,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,1.98,14.44,12.96,11.78,15.04,10.95,6.0,12.0,63.0,52.0,17.0,2.0,0.0,0.0,1.5,0.875,2.125,1.125,1.5,1.375,0.875,0.75,0.375,0.25,0.625,0.5,0.875,0.625,0.625,0.5,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Spain,Segunda División,TIER_1,1392183,Burgos,Almeria,NS,83.27,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,4.19,16.83,8.25,-7.5,15.22,15.2,7.0,3.0,62.0,70.0,11.0,20.0,0.0,1.0,1.875,2.25,1.5,2.75,0.875,2.0,0.875,0.875,0.5,0.0,0.5,0.875,0.625,1.0,0.375,0.875,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Sweden,Allsvenskan,TIER_2,1494164,IFK Goteborg,Hammarby FF,NS,82.83,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,3.89,15.94,16.0,-23.67,9.59,18.0,15.0,3.0,3.0,11.0,-10.0,11.0,1.0,0.5,0.875,1.875,1.125,2.625,2.25,1.125,0.625,0.875,0.0,0.25,0.625,0.625,1.0,1.0,0.5,0.625,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Spain,La Liga,TIER_1,1391160,Atletico Madrid,Celta Vigo,NS,82.78,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,3.33,15.0,10.45,9.5,16.27,12.18,4.0,6.0,63.0,47.0,21.0,4.0,0.5,0.0,1.0,0.75,1.5,1.375,1.625,2.375,0.875,0.625,0.125,0.0,0.75,0.625,0.875,0.875,0.625,0.875,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Scotland,Premiership,TIER_2,1540027,Motherwell,Heart Of Midlothian,NS,81.22,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,5.16,13.06,16.0,-16.09,9.29,13.9,4.0,1.0,57.0,76.0,23.0,32.0,0.5,1.0,0.875,2.375,1.25,1.5,1.75,0.75,0.75,0.875,0.25,0.375,0.625,0.5,0.75,0.5,0.625,0.5,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Netherlands,Eerste Divisie,TIER_2,1544647,Willem II,Waalwijk,NS,80.33,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,4.21,14.78,14.34,13.04,14.82,10.78,3.0,6.0,68.0,58.0,17.0,12.0,1.0,0.0,2.625,1.25,1.875,1.875,0.5,1.5,0.875,0.875,0.625,0.125,0.25,0.75,0.625,0.875,0.5,0.5,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Turkey,Süper Lig,TIER_2,1394725,Galatasaray,Antalyaspor,NS,79.85,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,5.08,11.77,16.0,23.73,12.18,9.44,1.0,15.0,74.0,29.0,46.0,-21.0,1.0,1.0,1.25,0.625,1.375,0.75,1.875,1.625,0.75,0.375,0.125,0.375,0.625,0.25,1.0,0.625,0.75,0.375,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Italy,Serie A,TIER_1,1378214,Cagliari,Udinese,NS,78.78,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,1.98,11.23,11.57,-10.52,7.39,12.3,15.0,11.0,37.0,47.0,-13.0,-3.0,0.5,0.0,0.875,1.5,0.875,1.5,1.625,0.875,0.625,0.625,0.25,0.5,0.5,0.25,0.625,0.625,0.625,0.375,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,England,Premier League,TIER_1,1379322,Fulham,Bournemouth,NS,78.71,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,1.94,9.32,13.45,-12.23,4.51,10.86,11.0,6.0,48.0,52.0,-5.0,3.0,0.0,0.0,1.0,1.75,0.5,1.5,1.0,0.875,0.25,0.75,0.375,0.375,0.125,0.625,0.375,0.75,0.25,0.625,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,France,Ligue 2,TIER_1,1389410,Reims,PAU,NS,78.58,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,1.98,12.98,9.62,8.75,13.5,9.78,6.0,9.0,53.0,45.0,16.0,-12.0,0.0,0.0,1.375,1.375,1.375,1.0,1.125,1.875,0.875,0.75,0.25,0.375,0.75,0.5,0.875,0.625,0.375,0.625,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Spain,La Liga,TIER_1,1391166,Real Sociedad,Real Betis,NS,78.56,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,30,24.0,2.99,14.89,6.68,-6.07,13.1,14.21,9.0,5.0,43.0,53.0,-1.0,11.0,0.0,0.5,1.125,1.25,1.75,1.5,1.75,1.375,0.75,0.875,0.125,0.25,0.625,0.75,0.75,0.875,0.625,0.5,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Switzerland,Super League,TIER_2,1538474,FC Winterthur,Lausanne,NS,78.15,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,2.98,14.34,13.83,-12.57,13.41,13.54,6.0,3.0,20.0,42.0,-53.0,-9.0,0.0,0.5,0.75,1.5,1.25,1.375,2.0,2.0,0.75,0.625,0.0,0.125,0.75,0.5,1.0,1.0,0.5,0.875,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-09,Turkey,Süper Lig,TIER_2,1394727,Göztepe,Gaziantep FK,NS,77.61,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,23,24.0,2.68,15.18,12.75,11.59,15.27,12.14,5.0,11.0,52.0,37.0,12.0,-13.0,0.5,0.0,1.25,1.0,1.625,1.375,1.5,1.75,1.0,0.75,0.25,0.125,0.75,0.625,1.0,1.0,0.5,0.625,8.0,8.0,TEAM_LAST_8_ALL_COMPETITIONS
