execution_rank,execution_shortlist_source,fixture_id,date,league,home_team,away_team,market_primary,final_execution_bucket,final_recommendation,execution_score,selection_score,primary_model_prob,primary_odds_used,primary_edge,actionable_result,actionable_profit_units,primary_result,primary_profit_units,ledger_result_status
1,PREMIUM_CORE,1390013,2026-05-09,Ligue 2,Bastia,Le Mans,AWAY_WIN,APPROVED_PREMIUM,BET,145.78713656387663,95.24,0.756,2.27,0.3154713656387665,PENDING,,PENDING,,PENDING
2,PREMIUM_CORE,1390014,2026-05-09,Ligue 2,Grenoble,Estac Troyes,AWAY_WIN,APPROVED_PREMIUM,BET,135.48046783625733,94.43,0.8053,1.71,0.2205046783625731,LOSS,-1.0,LOSS,-1.0,RESULT_AVAILABLE
3,PREMIUM_CORE,1378217,2026-05-09,Serie A,Lazio,Inter,OVER_2_5,APPROVED_PREMIUM,BET,135.44851063829788,96.3,0.7334,1.88,0.2014851063829787,WIN,0.88,WIN,0.88,RESULT_AVAILABLE
4,PREMIUM_EXTENDED,1392183,2026-05-09,Segunda División,Burgos,Almeria,OVER_2_5,APPROVED_PREMIUM,BET,123.27082125603864,89.17,0.7741,2.07,0.2910082125603864,LOSS,-1.0,LOSS,-1.0,RESULT_AVAILABLE
5,PREMIUM_EXTENDED,1392189,2026-05-09,Segunda División,Albacete,Cultural Leonesa,HOME_WIN,APPROVED_PREMIUM,BET,119.84173913043476,90.98,0.6734,2.3,0.2386173913043477,WIN,1.3,WIN,1.3,RESULT_AVAILABLE
6,PREMIUM_EXTENDED,1379322,2026-05-09,Premier League,Fulham,Bournemouth,UNDER_3_5,APPROVED_PREMIUM,BET,113.63886075949368,84.61,0.8732,1.58,0.2402886075949367,WIN,0.58,WIN,0.58,RESULT_AVAILABLE
7,PREMIUM_EXTENDED,1394725,2026-05-09,Süper Lig,Galatasaray,Antalyaspor,UNDER_3_5,APPROVED_PREMIUM,BET,111.84666666666666,85.05,0.7388,1.92,0.2179666666666666,LOSS,-1.0,LOSS,-1.0,RESULT_AVAILABLE
8,PREMIUM_EXTENDED,1531281,2026-05-09,Bundesliga,Grazer AK,SCR Altach,OVER_1_5,APPROVED_PREMIUM,BET,95.83555555555554,78.63,0.8165,1.44,0.1220555555555555,WIN,0.44,WIN,0.44,RESULT_AVAILABLE
