target_date,generated_at,fixture_id,league,home_team,away_team,minutes_to_kickoff,league_coverage,recent_stats_coverage,lineup_coverage,probable_lineup_gate,injuries_coverage,standings_coverage,odds_coverage,context_coverage,forecast_coverage,coverage_score,missing_blocks,api_readiness_gate,execution_policy,operator_note,auto_apply,production_change
2026-07-11,2026-07-11T23:21:14+01:00,1494207,Allsvenskan,Orgryte IS,BK Hacken,349.84,FULL,FULL,NOT_DUE_YET,NO_PROBABLE_LINEUP_SOURCES,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1494692,Eliteserien,Aalesund,Molde,259.83,FULL,FULL,NOT_DUE_YET,NO_PROBABLE_LINEUP_SOURCES,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1494699,Eliteserien,Tromso,Valerenga,379.82,FULL,FULL,NOT_DUE_YET,NO_PROBABLE_LINEUP_SOURCES,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1494694,Eliteserien,Fredrikstad,Lillestrom,139.82,FULL,FULL,NONE,NO_PROBABLE_LINEUP_SOURCES,FULL,FULL,FULL,FULL,FULL,80.0,lineup_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1506993,K League 1,Gwangju FC,Pohang Steelers,49.81,FULL,FULL,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1506994,K League 1,Ulsan Hyundai FC,Jeonbuk Motors,49.8,FULL,FULL,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1494206,Allsvenskan,Mjallby AIF,AIK Stockholm,199.85,FULL,FULL,NOT_DUE_YET,NO_PROBABLE_LINEUP_SOURCES,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1506992,K League 1,Gimcheon Sangmu FC,Bucheon FC 1995,49.81,FULL,FULL,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1547585,A Lyga,Kauno Žalgiris,Panevėžys,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-07-11,2026-07-11T23:21:14+01:00,1526894,Serie C,Caxias,Floresta,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
