target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-07-18,2026-07-18T10:08:59+01:00,1554428,Malisheva,Vllaznia Shkodër,UEFA Europa Conference League,World,848,2026,2026-07-15T14:30:00+00:00,FT,Stadiumi Zahir Pajaziti,15576,3339,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,Vllaznia Shkodër,Double chance : draw or Vllaznia Shkodër,33.0,67.0,0,100,33,67,33,67,1.73,3.70,4.00,2.05,1.70,1.77,1.95,2.95,1.36,prediction_winner=Vllaznia Shkodër | pred_total_home_away=33.0/67.0 | 1x2=1.73/3.70/4.00 | ou2.5=1.77/1.95,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-07-18,2026-07-18T10:08:59+01:00,1554375,Atert Bissen,KI Klaksvik,UEFA Champions League,World,2,2026,2026-07-15T18:15:00+00:00,FT,Stade de Luxembourg,15847,701,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,KI Klaksvik,Double chance : draw or KI Klaksvik,33.0,67.0,0,100,33,67,33,67,2.14,3.50,2.96,1.77,1.95,1.57,2.30,2.50,1.50,prediction_winner=KI Klaksvik | pred_total_home_away=33.0/67.0 | 1x2=2.14/3.50/2.96 | ou2.5=1.57/2.30,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-07-18,2026-07-18T10:08:59+01:00,1554388,Universitatea Craiova,ML Vitebsk,UEFA Champions League,World,2,2026,2026-07-15T17:30:00+00:00,FT,Stadionul Ion Oblemenco,632,7808,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,YES,YES,Universitatea Craiova,Combo Winner : Universitatea Craiova and +2.5 goals,80.0,20.0,100,0,80,20,80,20,1.27,5.00,9.60,1.75,1.95,1.55,2.35,2.38,1.53,prediction_winner=Universitatea Craiova | pred_total_home_away=80.0/20.0 | 1x2=1.27/5.00/9.60 | ou2.5=1.55/2.35,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
