target_date,generated_at,experiment_id,source_readiness_rank,pattern_key,readiness_state,sample_count,closed_sample_count,shadow_status,shadow_hypothesis,shadow_rule,min_review_sample,next_action,auto_apply,production_change,guardrail_status
2026-06-25,2026-06-25T05:54:40+01:00,shadow_waiting_prelock_over_1_5_failure_mode_low_conversion_wait_for_post_results,1,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,SHADOW_REQUIRED,3,0,CREATE_SHADOW_ONLY,Test whether low-conversion risk should downgrade or delay similar over/goal markets.,Shadow downgrade OVER_1_5 when failure_mode_low_conversion is present until stronger conversion evidence appears.,30,FORWARD_TEST_SHADOW_ONLY,NO,NO,SHADOW_FACTORY_REPORT_ONLY_NO_PRODUCTION_CHANGE
2026-06-25,2026-06-25T05:54:40+01:00,shadow_over_1_5_failure_mode_low_conversion,2,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,BLOCKED_BY_SAMPLE_SIZE,5,1,CONTINUE_SHADOW_ONLY,Test whether low-conversion risk should downgrade or delay similar over/goal markets.,Shadow downgrade OVER_1_5 when failure_mode_low_conversion is present until stronger conversion evidence appears.,30,FORWARD_TEST_SHADOW_ONLY,NO,NO,SHADOW_FACTORY_REPORT_ONLY_NO_PRODUCTION_CHANGE
