market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,1.0,1.0,1.0,0.0,0.0,1.0,2.05,0.4282,by_market_primary,,
BTTS_YES,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.2305,by_market_primary,,
OVER_1_5,4.0,4.0,3.0,1.0,0.0,0.75,-0.14,0.0446,by_market_primary,,
OVER_2_5,6.0,6.0,4.0,2.0,0.0,0.6667,1.04,0.2161,by_market_primary,,
UNDER_3_5,1.0,1.0,1.0,0.0,0.0,1.0,0.56,0.2107,by_market_primary,,
,1.0,1.0,1.0,0.0,0.0,1.0,0.14,-0.0035,by_edge_floor_band,NEGATIVE,
,2.0,2.0,1.0,1.0,0.0,0.5,-0.65,0.039,by_edge_floor_band,PLAYABLE,
,10.0,10.0,7.0,3.0,0.0,0.7,3.02,0.227,by_edge_floor_band,STRONG,
,2.0,2.0,1.0,1.0,0.0,0.5,0.21,0.2648,by_execution_verdict,,CORE_SHORTLIST
,1.0,1.0,1.0,0.0,0.0,1.0,0.14,-0.0035,by_execution_verdict,,NO_BET
,1.0,1.0,1.0,0.0,0.0,1.0,0.65,0.2528,by_execution_verdict,,TOP_CORE
,9.0,9.0,6.0,3.0,0.0,0.6667,1.51,0.1739,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,7.0,7.0,4.0,3.0,0.0,0.5714,0.07,0.2322,actionable_summary,,
