execution_rank,execution_shortlist_source,fixture_id,date,league,home_team,away_team,market_primary,final_execution_bucket,final_recommendation,execution_score,selection_score,primary_model_prob,primary_odds_used,primary_edge,actionable_result,actionable_profit_units,primary_result,primary_profit_units,ledger_result_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
1,PREMIUM_CORE,1561900,2026-08-07,Bundesliga,SCR Altach,WSG Wattens,OVER_2_5,APPROVED_PREMIUM,BET,144.78113122171945,84.44,0.8659,2.21,0.4134113122171945,WIN,1.21,WIN,1.21,RESULT_AVAILABLE,2026-08-07,2026-08-08T08:00:46+00:00,POST,OFFICIAL_RESULTS,PASS,2026-08-07-20260808T080046Z
2,PREMIUM_CORE,1552117,2026-08-07,Eredivisie,Cambuur,Excelsior,OVER_2_5,APPROVED_PREMIUM,BET,133.83393939393935,89.55,0.8589,1.65,0.2528393939393939,WIN,0.65,WIN,0.65,RESULT_AVAILABLE,2026-08-07,2026-08-08T08:00:46+00:00,POST,OFFICIAL_RESULTS,PASS,2026-08-07-20260808T080046Z
3,PREMIUM_EXTENDED,1551741,2026-08-07,Eerste Divisie,Vitesse,Waalwijk,UNDER_3_5,APPROVED_PREMIUM,BET,89.7574358974359,63.69,0.8517,1.56,0.210674358974359,WIN,0.56,WIN,0.56,RESULT_AVAILABLE,2026-08-07,2026-08-08T08:00:46+00:00,POST,OFFICIAL_RESULTS,PASS,2026-08-07-20260808T080046Z
