shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,recent_stats_quality_flag,recent_stats_process_score,recent_lab_context_score,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_schedule_balance_delta,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_event_coverage_flag,away_recent_event_coverage_flag,recent_sample_cleanliness_flag,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_confidence_adjustment_score,odds_structure_depth_status,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,final_execution_bucket,final_execution_reason,final_execution_bucket_order
1,TOP_CORE,TOP_CORE,2026-08-07,Germany,2. Bundesliga,1576134,VfL Bochum,Hertha BSC,95.72,90.03,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_2_5,STRONG,TOP_CORE,BET,WATCH,WATCH,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,13,12,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.167733 | primary_edge >= 0.167733 | model_edge_abs_num >= 0.176245 | primary_edge >= 0.176245 | model_edge_abs_num >= 0.164431 | primary_edge >= 0.164431 | model_edge_abs_num >= 0.184762 | primary_edge >= 0.184762 | model_edge_abs_num >= 0.169424 | primary_edge >= 0.169424 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.178059 | primary_edge >= 0.178059 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,AWAY_WIN_DRAW_RISK,MARKET_FIT_DOWNGRADED,"AWAY_WIN requires premium governance, core base verdict, usable odds, and strict model probability/edge strength.",,0.7561,3.05,0.3278688524590164,0.4282311475409835,0.8141,1.75,0.5714285714285714,0.2426714285714286,1.22,3.2,4.42,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,555.51,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.22 | visitante 3.20,Market edge primario: prob 0.756 | impl 0.328 | edge +0.428,Bias lado: -3.15 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_PARTIAL rel=0.70 stats=0.0 odds=1.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,9.0,7.0,0.0,0.0,1.75,2.0,1.125,5.0,1.25,1.286,0.625,1.0,0.375,0.286,0.375,0.714,0.75,1.0,0.375,0.857,,,,,,,,,,,,,,,,,,,,,,,DOWNGRADED,Execution market-fit hardening downgraded the candidate: AWAY_WIN_DRAW_RISK.,3
7,WATCHLIST,WATCH,2026-08-07,Norway,Eliteserien,1494728,Sandefjord,KFUM Oslo,76.97,71.97,MEDIUM_HIGH,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8449,1.23,0.8130081300813008,0.0318918699186991,0.6463,1.73,0.5780346820809249,0.068265317919075,1.76,1.57,3.33,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,PARTIAL,3.42,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,0.8,12.0,8.0,FULL,FULL,8.8,5.6,HIGH,HIGH,FULL,14.4,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,465.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,,,Proj goles: local 1.76 | visitante 1.57,Market edge primario: prob 0.845 | impl 0.813 | edge +0.032,Bias lado: +0.37 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=PARTIAL hSOT=5.00 aSOT=4.50 | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.80 aRisk=5.60 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,12.0,13.0,0.5,0.5,1.375,1.0,0.875,1.375,1.125,2.125,0.625,0.875,0.375,0.125,0.375,0.75,0.5,0.875,0.375,0.875,17.0,13.0,15.0,12.75,5.0,4.5,4.0,4.5,50.6,46.5,5.6,2.5,8.6,5.25,13.4,12.0,2.25,1.25,1.4,1.0,5.4,3.75,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
10,WATCHLIST,WATCH,2026-08-07,Netherlands,Eerste Divisie,1551739,FC OSS,NAC Breda,73.25,69.26,MEDIUM_HIGH,1-2 / 1-3 / 2-2,OVER_2_5,BTTS_YES,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7657,1.53,0.6535947712418301,0.1121052287581699,0.7463,1.6,0.625,0.1212999999999999,1.83,2.2,4.03,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,525.51,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.83 | visitante 2.20,Market edge primario: prob 0.766 | impl 0.654 | edge +0.112,Bias lado: -0.70 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_PARTIAL rel=0.70 stats=0.0 odds=1.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,10.0,13.0,0.0,0.0,0.6,1.5,1.8,1.333,3.4,1.667,0.8,0.667,0.0,0.0,0.8,0.667,0.8,0.833,0.8,0.667,,,,,,,,,,,,,,,,,,,,,,,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
11,WATCHLIST,WATCH,2026-08-07,Japan,J1 League,1553999,Yokohama F. Marinos,Kashima,72.72,67.73,MEDIUM_HIGH,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8338,1.37,0.7299270072992701,0.1038729927007299,0.6282,2.19,0.4566210045662101,0.1715789954337899,1.53,1.71,3.24,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,70.5,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.53 | visitante 1.71,Market edge primario: prob 0.834 | impl 0.730 | edge +0.104,Bias lado: -0.50 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_PARTIAL rel=0.70 stats=0.0 odds=1.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,8.0,16.0,0.0,0.5,1.25,2.125,1.75,1.5,1.875,0.625,0.75,1.0,0.125,0.5,0.625,0.5,1.0,0.75,0.75,0.375,,,,,,,,,,,,,,,,,,,,,,,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
12,WATCHLIST,WATCH,2026-08-07,Japan,J1 League,1554003,Gamba Osaka,Urawa,66.85,63.56,MEDIUM,1-1 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7869,1.35,0.7407407407407407,0.0461592592592593,0.5562,2.08,0.4807692307692307,0.0754307692307693,1.41,1.5,2.91,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,75.5,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,B_ANALIZAR,OVER_OR_BTTS_CHECK,,,Proj goles: local 1.41 | visitante 1.50,Market edge primario: prob 0.787 | impl 0.741 | edge +0.046,Bias lado: -0.10 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_PARTIAL rel=0.70 stats=0.0 odds=1.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,17.0,13.0,1.0,0.0,1.125,1.25,1.625,1.375,1.125,1.25,0.875,0.875,0.25,0.375,0.625,0.5,0.875,0.75,0.5,0.375,,,,,,,,,,,,,,,,,,,,,,,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
