category,segment,metric,value,column
today_lineups_report,overall,rows_processed,6,
today_lineups_report,overall,full_rows,1,
today_lineups_report,overall,partial_rows,0,
today_lineups_report,overall,none_rows,5,
today_lineups_report,overall,active_rows,0,
today_lineups_report,overall,advisory_only_rows,1,
today_lineups_report,overall,inactive_rows,5,
today_lineups_report,overall,timing_eligible_rows,4,
today_lineups_report,overall,timing_ineligible_rows,2,
today_lineups_report,overall,lineup_available_rows,1,
today_lineups_report,overall,lineup_unavailable_rows,5,
today_lineups_report,overall,api_calls_made,0,
today_lineups_report,overall,cache_hits,6,
today_lineups_report,overall,api_errors,0,
today_lineups_report,overall,plan_limit_errors,0,
today_lineups_report,overall,avg_known_starters_count,11.0,
today_lineups_report,overall,generated_at_utc,2026-05-10T20:28:16.861632+00:00,
today_activation_state,INACTIVE,rows,5,lineup_activation_state
today_activation_state,ADVISORY_ONLY,rows,1,lineup_activation_state
today_quality_flag,NONE,rows,5,lineup_quality_flag
today_quality_flag,FULL,rows,1,lineup_quality_flag
today_timing_eligible,1.0,rows,4,lineup_timing_eligible_flag
today_timing_eligible,0.0,rows,2,lineup_timing_eligible_flag
today_pipeline,deep_candidates,rows_total,6,
today_pipeline,execution_shortlist,rows_total,3,
today_shortlist_composition,PREMIUM_CORE,rows,3,execution_shortlist_source
today_pick_modes,SAFE_TOP5,safe_top5_rows,2,
today_pick_modes,BALANCED_TOP5,balanced_top5_rows,3,
today_pick_modes,AGGRESSIVE_TOP5,aggressive_top5_rows,3,
historical_activation_state,ADVISORY_ONLY,rows,647,lineup_activation_state
historical_quality_flag,FULL,rows,647,lineup_quality_flag
historical_timing_eligible,0.0,rows,647,lineup_timing_eligible_flag
historical_coverage,2026-04-23_to_2026-05-08,deep_rows_total,647,
historical_backtest_overall,ALL,rows_total,30,
historical_backtest_overall,ALL,graded_rows,30,
historical_backtest_overall,ALL,wins,22,
historical_backtest_overall,ALL,losses,8,
historical_backtest_overall,ALL,pushes,0,
historical_backtest_overall,ALL,voids,0,
historical_backtest_overall,ALL,profit_units_total,2.13,
historical_backtest_overall,ALL,roi_percent,7.1,
historical_backtest_by_source,PREMIUM_CORE,rows_total,14,
historical_backtest_by_source,PREMIUM_CORE,graded_rows,14,
historical_backtest_by_source,PREMIUM_CORE,wins,12,
historical_backtest_by_source,PREMIUM_CORE,losses,2,
historical_backtest_by_source,PREMIUM_CORE,pushes,0,
historical_backtest_by_source,PREMIUM_CORE,voids,0,
historical_backtest_by_source,PREMIUM_CORE,profit_units_total,4.16,
historical_backtest_by_source,PREMIUM_CORE,roi_percent,29.714286,
historical_backtest_by_source,PREMIUM_EXTENDED,rows_total,13,
historical_backtest_by_source,PREMIUM_EXTENDED,graded_rows,13,
historical_backtest_by_source,PREMIUM_EXTENDED,wins,8,
historical_backtest_by_source,PREMIUM_EXTENDED,losses,5,
historical_backtest_by_source,PREMIUM_EXTENDED,pushes,0,
historical_backtest_by_source,PREMIUM_EXTENDED,voids,0,
historical_backtest_by_source,PREMIUM_EXTENDED,profit_units_total,-2.03,
historical_backtest_by_source,PREMIUM_EXTENDED,roi_percent,-15.615385,
historical_backtest_by_source,STANDARD_FILL,rows_total,3,
historical_backtest_by_source,STANDARD_FILL,graded_rows,3,
historical_backtest_by_source,STANDARD_FILL,wins,2,
historical_backtest_by_source,STANDARD_FILL,losses,1,
historical_backtest_by_source,STANDARD_FILL,pushes,0,
historical_backtest_by_source,STANDARD_FILL,voids,0,
historical_backtest_by_source,STANDARD_FILL,profit_units_total,0.0,
historical_backtest_by_source,STANDARD_FILL,roi_percent,0.0,
historical_mode_overall,CORE_ONLY,rows_total,14,
historical_mode_overall,CORE_ONLY,graded_rows,14,
historical_mode_overall,CORE_ONLY,wins,12,
historical_mode_overall,CORE_ONLY,losses,2,
historical_mode_overall,CORE_ONLY,pushes,0,
historical_mode_overall,CORE_ONLY,voids,0,
historical_mode_overall,CORE_ONLY,profit_units_total,4.16,
historical_mode_overall,CORE_ONLY,roi_percent,29.714286,
historical_mode_overall,CORE_ONLY,hit_rate,85.714286,
historical_mode_overall,CORE_ONLY,max_drawdown,-1.04,
historical_mode_overall,CORE_PLUS_STANDARD,rows_total,17,
historical_mode_overall,CORE_PLUS_STANDARD,graded_rows,17,
historical_mode_overall,CORE_PLUS_STANDARD,wins,14,
historical_mode_overall,CORE_PLUS_STANDARD,losses,3,
historical_mode_overall,CORE_PLUS_STANDARD,pushes,0,
historical_mode_overall,CORE_PLUS_STANDARD,voids,0,
historical_mode_overall,CORE_PLUS_STANDARD,profit_units_total,4.16,
historical_mode_overall,CORE_PLUS_STANDARD,roi_percent,24.470588,
historical_mode_overall,CORE_PLUS_STANDARD,hit_rate,82.352941,
historical_mode_overall,CORE_PLUS_STANDARD,max_drawdown,-1.04,
historical_mode_overall,FULL_SHORTLIST,rows_total,30,
historical_mode_overall,FULL_SHORTLIST,graded_rows,30,
historical_mode_overall,FULL_SHORTLIST,wins,22,
historical_mode_overall,FULL_SHORTLIST,losses,8,
historical_mode_overall,FULL_SHORTLIST,pushes,0,
historical_mode_overall,FULL_SHORTLIST,voids,0,
historical_mode_overall,FULL_SHORTLIST,profit_units_total,2.13,
historical_mode_overall,FULL_SHORTLIST,roi_percent,7.1,
historical_mode_overall,FULL_SHORTLIST,hit_rate,73.333333,
historical_mode_overall,FULL_SHORTLIST,max_drawdown,-1.08,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,rows_total,14,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,graded_rows,14,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,wins,12,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,losses,2,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,pushes,0,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,voids,0,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,profit_units_total,4.16,
historical_mode_by_source,CORE_ONLY:PREMIUM_CORE,roi_percent,29.714286,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,rows_total,14,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,graded_rows,14,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,wins,12,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,losses,2,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,pushes,0,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,voids,0,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,profit_units_total,4.16,
historical_mode_by_source,CORE_PLUS_STANDARD:PREMIUM_CORE,roi_percent,29.714286,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,rows_total,3,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,graded_rows,3,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,wins,2,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,losses,1,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,pushes,0,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,voids,0,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,profit_units_total,0.0,
historical_mode_by_source,CORE_PLUS_STANDARD:STANDARD_FILL,roi_percent,0.0,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,rows_total,14,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,graded_rows,14,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,wins,12,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,losses,2,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,pushes,0,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,voids,0,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,profit_units_total,4.16,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_CORE,roi_percent,29.714286,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,rows_total,13,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,graded_rows,13,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,wins,8,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,losses,5,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,pushes,0,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,voids,0,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,profit_units_total,-2.03,
historical_mode_by_source,FULL_SHORTLIST:PREMIUM_EXTENDED,roi_percent,-15.615385,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,rows_total,3,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,graded_rows,3,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,wins,2,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,losses,1,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,pushes,0,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,voids,0,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,profit_units_total,0.0,
historical_mode_by_source,FULL_SHORTLIST:STANDARD_FILL,roi_percent,0.0,
comparison_baseline,pre_governance_lineups,rows_total,25,
comparison_delta,advisory_governance_vs_pre_governance_lineups,rows_total,5.0,
comparison_baseline,pre_governance_lineups,graded_rows,25,
comparison_delta,advisory_governance_vs_pre_governance_lineups,graded_rows,5.0,
comparison_baseline,pre_governance_lineups,wins,16,
comparison_delta,advisory_governance_vs_pre_governance_lineups,wins,6.0,
comparison_baseline,pre_governance_lineups,losses,9,
comparison_delta,advisory_governance_vs_pre_governance_lineups,losses,-1.0,
comparison_baseline,pre_governance_lineups,profit_units_total,1.73,
comparison_delta,advisory_governance_vs_pre_governance_lineups,profit_units_total,0.4,
comparison_baseline,pre_governance_lineups,roi_percent,6.92,
comparison_delta,advisory_governance_vs_pre_governance_lineups,roi_percent,0.18,
comparison_baseline,advisory_pre_lineups,rows_total,27,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,rows_total,3.0,
comparison_baseline,advisory_pre_lineups,graded_rows,25,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,graded_rows,5.0,
comparison_baseline,advisory_pre_lineups,wins,16,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,wins,6.0,
comparison_baseline,advisory_pre_lineups,losses,9,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,losses,-1.0,
comparison_baseline,advisory_pre_lineups,profit_units_total,3.49,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,profit_units_total,-1.36,
comparison_baseline,advisory_pre_lineups,roi_percent,13.96,
comparison_delta,advisory_governance_vs_advisory_pre_lineups,roi_percent,-6.86,
