segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
APPROVED_PREMIUM,17,17,14,3,0,0,3.98,23.411765
APPROVED_STANDARD,3,3,2,1,0,0,0.09,3.0
