comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v6_rank,baseline_market,candidate_v2_market,candidate_v6_market,candidate_v6_action,candidate_v6_alignment,candidate_v6_confidence_adjustment,baseline_primary_risk,candidate_v2_primary_risk,candidate_v6_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE,1494177,Djurgardens IF vs IF Brommapojkarna,Allsvenskan,2,,,OVER_2_5,,,,,,FAILURE_MODE_LOW_CONVERSION,,,2026-05-22,2026-05-22T16:40:50+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T164050Z
BASELINE+CANDIDATE_V2+CANDIDATE_V6,1544652,Sudtirol vs Bari,Serie B,1,1.0,1.0,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,NEUTRAL,0.0,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-22,2026-05-22T16:40:50+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T164050Z
