segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
PREMIUM_CORE,8,8,7,1,0,0,3.14,39.25
PREMIUM_EXTENDED,2,2,1,1,0,0,-0.5,-25.0
