fixture_id,result,note
1540881,ERROR,404 Client Error: Not Found for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1540881
1540882,ERROR,429 Client Error: Too Many Requests for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1540882
1540873,ERROR,429 Client Error: Too Many Requests for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1540873
1540874,ERROR,429 Client Error: Too Many Requests for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1540874
1535292,ERROR,429 Client Error: Too Many Requests for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1535292
1535199,ERROR,429 Client Error: Too Many Requests for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1535199
1535190,ERROR,404 Client Error: Not Found for url: https://api-football-v1.p.rapidapi.com/v3/fixtures?id=1535190
