segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
AWAY_WIN,1,1,1,0,0,0,1.0,100.0
BTTS_YES,2,2,2,0,0,0,0.86,43.0
OVER_1_5,10,10,7,3,0,0,-0.16,-1.6
OVER_2_5,5,5,4,1,0,0,1.68,33.6
UNDER_3_5,2,2,2,0,0,0,0.69,34.5
