rule_type,metric,direction,threshold,rule,rows_total,graded_bets,wins,losses,pushes,voids,stake_units,profit_units,roi_pct,hit_rate_decided_pct
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1381412213740458,model_edge_abs_num >= 0.138141,51,31,26,5,0,0,31.0,8.48,27.3548,83.871
NUMERIC_THRESHOLD,primary_edge,>=,0.1381412213740458,primary_edge >= 0.138141,51,31,26,5,0,0,31.0,8.48,27.3548,83.871
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1385046783625731,model_edge_abs_num >= 0.138505,50,30,25,5,0,0,30.0,8.17,27.2333,83.3333
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1445387096774193,model_edge_abs_num >= 0.144539,49,30,25,5,0,0,30.0,8.17,27.2333,83.3333
NUMERIC_THRESHOLD,primary_edge,>=,0.1385046783625731,primary_edge >= 0.138505,50,30,25,5,0,0,30.0,8.17,27.2333,83.3333
NUMERIC_THRESHOLD,primary_edge,>=,0.1445387096774193,primary_edge >= 0.144539,49,30,25,5,0,0,30.0,8.17,27.2333,83.3333
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1155313432835821,model_edge_abs_num >= 0.115531,64,40,32,8,0,0,40.0,7.76,19.4,80.0
NUMERIC_THRESHOLD,primary_edge,>=,0.1155313432835821,primary_edge >= 0.115531,64,40,32,8,0,0,40.0,7.76,19.4,80.0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1452393939393939,model_edge_abs_num >= 0.145239,48,29,24,5,0,0,29.0,7.62,26.2759,82.7586
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1462746478873239,model_edge_abs_num >= 0.146275,47,29,24,5,0,0,29.0,7.62,26.2759,82.7586
NUMERIC_THRESHOLD,primary_edge,>=,0.1452393939393939,primary_edge >= 0.145239,48,29,24,5,0,0,29.0,7.62,26.2759,82.7586
NUMERIC_THRESHOLD,primary_edge,>=,0.1462746478873239,primary_edge >= 0.146275,47,29,24,5,0,0,29.0,7.62,26.2759,82.7586
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1603,model_edge_abs_num >= 0.1603,42,25,21,4,0,0,25.0,7.57,30.28,84.0
NUMERIC_THRESHOLD,primary_edge,>=,0.1603,primary_edge >= 0.1603,42,25,21,4,0,0,25.0,7.57,30.28,84.0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1316842105263158,model_edge_abs_num >= 0.131684,53,32,26,6,0,0,32.0,7.48,23.375,81.25
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1364333333333334,model_edge_abs_num >= 0.136433,52,32,26,6,0,0,32.0,7.48,23.375,81.25
NUMERIC_THRESHOLD,primary_edge,>=,0.1316842105263158,primary_edge >= 0.131684,53,32,26,6,0,0,32.0,7.48,23.375,81.25
NUMERIC_THRESHOLD,primary_edge,>=,0.1364333333333334,primary_edge >= 0.136433,52,32,26,6,0,0,32.0,7.48,23.375,81.25
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1694242424242424,model_edge_abs_num >= 0.169424,36,22,19,3,0,0,22.0,7.47,33.9545,86.3636
NUMERIC_THRESHOLD,primary_edge,>=,0.1694242424242424,primary_edge >= 0.169424,36,22,19,3,0,0,22.0,7.47,33.9545,86.3636
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1161493506493506,model_edge_abs_num >= 0.116149,63,39,31,8,0,0,39.0,7.42,19.0256,79.4872
NUMERIC_THRESHOLD,primary_edge,>=,0.1161493506493506,primary_edge >= 0.116149,63,39,31,8,0,0,39.0,7.42,19.0256,79.4872
