execution_rank,execution_shortlist_source,fixture_id,date,league,home_team,away_team,market_primary,final_execution_bucket,final_recommendation,execution_score,selection_score,primary_model_prob,primary_odds_used,primary_edge,actionable_result,actionable_profit_units,primary_result,primary_profit_units,ledger_result_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
1,PREMIUM_CORE,1535311,2026-05-19,CONMEBOL Libertadores,Rosario Central,UCV,BTTS_YES,APPROVED_PREMIUM,BET,139.34431372549017,96.1,0.6346,2.55,0.2424431372549019,PENDING,,PENDING,,PENDING,2026-05-19,2026-05-19T10:50:44+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-19-20260519T105044Z
2,PREMIUM_CORE,1544951,2026-05-19,Serie B,Monza,Juve Stabia,OVER_1_5,APPROVED_PREMIUM,BET,132.2174647887324,98.92,0.8472,1.42,0.1429746478873238,PENDING,,PENDING,,PENDING,2026-05-19,2026-05-19T10:50:44+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-19-20260519T105044Z
3,PREMIUM_CORE,1536960,2026-05-19,Jupiler Pro League,KVC Westerlo,Standard Liege,OVER_2_5,APPROVED_PREMIUM,BET,129.5264705882353,94.26,0.7509,1.7,0.1626647058823529,PENDING,,PENDING,,PENDING,2026-05-19,2026-05-19T10:50:44+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-19-20260519T105044Z
4,PREMIUM_EXTENDED,1535300,2026-05-19,CONMEBOL Libertadores,Coquimbo Unido,Deportes Tolima,OVER_1_5,APPROVED_PREMIUM,BET,109.36746478873238,88.39,0.864,1.42,0.1597746478873238,PENDING,,PENDING,,PENDING,2026-05-19,2026-05-19T10:50:44+00:00,POST,OFFICIAL_RESULTS,PASS,2026-05-19-20260519T105044Z
