historical_batch_date,execution_rank,execution_shortlist_source,final_execution_bucket,final_recommendation,execution_score,fixture_id,league,home_team,away_team,market_primary,selection_score,primary_model_prob,primary_odds_used,primary_edge,accuracy_mode_eligible_flag,accuracy_confidence_score,accuracy_mode_reason,accuracy_primary_risk,accuracy_mode_bucket,accuracy_mode_rank,competition_raw_prob,competition_calibrated_prob,competition_prob_calibration_bucket,competition_prob_calibration_reason,competition_prob_shrinkage_applied_flag,result_status,actionable_result,primary_result,profit_units,stake_units
2026-05-04,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,140.47333333333336,1392179,Segunda División,Almeria,Mirandes,OVER_2_5,104.7,0.8344,1.5,0.1677333333333334,1,138.3,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8344,0.851525,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_RELIABILITY_UPLIFT,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0
2026-05-04,2,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,119.40623188405797,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,95.93,0.9094,1.38,0.1847623188405796,1,123.168,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.9094,0.8294,MARKET:OVER_1_5,CALIBRATED_MARKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-04,3,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,111.97046511627906,1540025,Premiership,Heart Of Midlothian,Rangers,OVER_2_5,82.55,0.8256,1.72,0.2442046511627906,0,100.066,ACCURACY_EXTENDED_REVIEW;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_OVER_SUPPORT_INSUFFICIENT,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.8256,0.8256,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.72,1.0
2026-05-04,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,111.14692307692309,1378211,Serie A,AS Roma,Fiorentina,OVER_1_5,96.79,0.8628,1.3,0.0935692307692308,0,113.271,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_EXTENDED_REJECTED,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.8628,0.8628,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.3,1.0
2026-05-05,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,124.19203007518797,1535295,CONMEBOL Libertadores,Sporting Cristal,Palmeiras,OVER_1_5,94.86,0.8552,1.33,0.1033203007518797,1,146.363,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8552,0.78756,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.33,1.0
2026-05-05,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,123.70313432835823,1506967,K League 1,FC Seoul,FC Anyang,OVER_1_5,91.76,0.8757,1.34,0.1294313432835822,0,139.056,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_STATS_SUPPORT_TOO_THIN,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.8757,0.8757,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-05,3,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,75.94692307692308,1543679,Premiership,Dunfermline,Arbroath,UNDER_3_5,59.06,0.8881,1.3,0.1188692307692308,0,82.397,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_EXTENDED_REJECTED,FAILURE_MODE_AVALANCHE_RISK,ACCURACY_REJECTED,,0.8881,0.8881,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.3,1.0
2026-05-06,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,141.830522875817,1535283,CONMEBOL Libertadores,Barcelona SC,Boca Juniors,OVER_1_5,102.04,0.8615,1.53,0.2079052287581699,1,154.276,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8615,0.79386,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-06,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,136.42242424242426,1535297,CONMEBOL Libertadores,UCV,Independiente del Valle,OVER_1_5,100.48,0.927,1.32,0.1694242424242424,0,150.624,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_STATS_SUPPORT_TOO_THIN,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.927,0.927,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.32,1.0
2026-05-06,3,PREMIUM_CORE,APPROVED_PREMIUM,BET,127.45412213740458,1540844,UEFA Champions League,Bayern München,Paris Saint Germain,BTTS_YES,94.64,0.9015,1.31,0.1381412213740458,0,117.45,ACCURACY_CORE_PRIORITY;ACCURACY_MODEL_PROB_HIGH;ACCURACY_BTTS_SUPPORT_INSUFFICIENT,FAILURE_MODE_BTTS_BREAK,ACCURACY_REJECTED,,0.9015,0.9015,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.31,1.0
