comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v5_rank,baseline_market,candidate_v2_market,candidate_v5_market,candidate_v5_original_market,candidate_v5_action,baseline_result,candidate_v2_result,candidate_v5_result,baseline_profit_units,candidate_v2_profit_units,candidate_v5_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1535208,Gremio vs Palestino,CONMEBOL Sudamericana,3,3,3,UNDER_3_5,UNDER_3_5,UNDER_3_5,UNDER_3_5,NOT_APPLIED,WIN,WIN,WIN,0.36,0.36,0.36,2026-05-21,2026-05-21T10:55:23+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1535302,Flamengo vs Estudiantes L.P.,CONMEBOL Libertadores,2,2,2,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,LOSS,LOSS,LOSS,-1.0,-1.0,-1.0,2026-05-21,2026-05-21T10:55:23+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
BASELINE+CANDIDATE_V2+CANDIDATE_V5,1545410,Brondby vs FC Copenhagen,Superliga,1,1,1,OVER_2_5,OVER_2_5,OVER_2_5,OVER_2_5,NOT_APPLIED,PENDING,PENDING,PENDING,,,,2026-05-21,2026-05-21T10:55:23+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
