scope_type,scope_value,group_value,rows_total,actionable_rows,non_actionable_rows,graded_bets,wins,losses,pushes,voids,blocked_win,blocked_loss,blocked_push,blocked_void,blocked_no_bet,stake_units,profit_units,roi_pct,hit_rate_decided_pct,avg_odds_actionable,avg_model_edge_pct,avg_model_edge_abs
OVERALL,ALL_ROWS,ALL,647,62,585,62,44,18,0,0,0,0,0,0,585,62.0,1.86,3.0,70.9677,1.4415,,0.1454
FILTER,ACTIONABLE_ONLY,ALL,62,62,0,62,44,18,0,0,0,0,0,0,0,62.0,1.86,3.0,70.9677,1.4415,,0.1454
FILTER,NON_ACTIONABLE_ONLY,ALL,585,0,585,0,0,0,0,0,0,0,0,0,585,0.0,0.0,,,,,
EDGE_FLOOR_BAND,STRONG,STRONG,59,59,0,59,41,18,0,0,0,0,0,0,0,59.0,1.14,1.9322,69.4915,1.4517,,0.1507
EDGE_FLOOR_BAND,PLAYABLE,PLAYABLE,3,3,0,3,3,0,0,0,0,0,0,0,0,3.0,0.72,24.0,100.0,1.24,,0.041
EXECUTION_VERDICT,CORE_SHORTLIST,CORE_SHORTLIST,7,7,0,7,6,1,0,0,0,0,0,0,0,7.0,2.7,38.5714,85.7143,1.5771,,0.215
EXECUTION_VERDICT,TOP_CORE,TOP_CORE,7,7,0,7,5,2,0,0,0,0,0,0,0,7.0,0.14,2.0,71.4286,1.46,,0.147
EXECUTION_VERDICT,WATCH,WATCH,48,48,0,48,33,15,0,0,0,0,0,0,0,48.0,-0.98,-2.0417,68.75,1.419,,0.1349
FINAL_RECOMMENDATION,BET,BET,59,59,0,59,41,18,0,0,0,0,0,0,0,59.0,1.14,1.9322,69.4915,1.4517,,0.1507
FINAL_RECOMMENDATION,LEAN_PLAY,LEAN_PLAY,3,3,0,3,3,0,0,0,0,0,0,0,0,3.0,0.72,24.0,100.0,1.24,,0.041
