comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v4_rank,baseline_market,candidate_v2_market,candidate_v4_market,candidate_v4_original_market,candidate_v4_firewall_decision,candidate_v4_firewall_score,candidate_v4_firewall_action,baseline_primary_risk,candidate_v2_primary_risk,candidate_v4_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
CANDIDATE_V2+CANDIDATE_V4,1392205,Huesca vs Castellón,Segunda División,,1.0,1.0,,OVER_2_5,OVER_1_5,OVER_2_5,DEGRADE_TO_OVER_1_5,8.5,MARKET_DOWNGRADED_TO_OVER_1_5,,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-24,2026-05-24T00:22:01+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-24-20260524T002200Z
BASELINE,1392207,Sporting Gijon vs Almeria,Segunda División,1.0,,,OVER_2_5,,,,,,,FAILURE_MODE_LOW_CONVERSION,,,2026-05-24,2026-05-24T00:22:01+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-24-20260524T002200Z
BASELINE+CANDIDATE_V2,1504827,Tokyo Verdy vs Yokohama F. Marinos,J1 League,3.0,3.0,,OVER_1_5,OVER_1_5,,,,,,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,,2026-05-24,2026-05-24T00:22:01+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-24-20260524T002200Z
BASELINE+CANDIDATE_V2+CANDIDATE_V4,1545796,Catanzaro vs Monza,Serie B,2.0,2.0,2.0,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,0.0,NO_ACTION,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-24,2026-05-24T00:22:01+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-24-20260524T002200Z
