summary_scope,metric,rows_total,value_num,value_text,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
overall,shortlist_rows,5,5.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,result_available_rows,5,3.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,pending_rows,5,2.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,unmatched_rows,5,0.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,bet_rows,5,5.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,lean_play_rows,5,0.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,premium_rows,5,5.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,standard_rows,5,0.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,wins,5,1.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,losses,5,2.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,pushes,5,0.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,voids,5,0.0,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,profit_units_total,5,-1.64,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,roi_percent,5,-54.666667,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,avg_execution_score,5,127.459979,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
overall,avg_primary_edge,5,0.216,,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,shortlist_rows,5,5.0,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,result_available_rows,5,3.0,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,pending_rows,5,2.0,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
