comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_raw_prob,candidate_v2_raw_prob,baseline_calibrated_prob,candidate_v2_calibrated_prob,baseline_confidence_score,candidate_v2_confidence_score,baseline_bucket,candidate_v2_bucket,baseline_main_reason,candidate_v2_main_reason,baseline_primary_risk,candidate_v2_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE_ONLY,1494177,Djurgardens IF vs IF Brommapojkarna,Allsvenskan,2,,OVER_2_5,,0.7858,,0.802925,,134.444,,ACCURACY_CORE,,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_FAILURE_MODE_ACCEPTABLE,,FAILURE_MODE_LOW_CONVERSION,,2026-05-22,2026-05-22T12:58:54+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T125854Z
BOTH,1544652,Sudtirol vs Bari,Serie B,1,1.0,OVER_1_5,OVER_1_5,0.8553,0.8541,0.78766,0.78646,146.766,146.556,ACCURACY_CORE,ACCURACY_CORE,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-22,2026-05-22T12:58:54+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T125854Z
