group_value,rows_total,actionable_rows,non_actionable_rows,graded_bets,wins,losses,pushes,voids,blocked_win,blocked_loss,blocked_push,blocked_void,blocked_no_bet,stake_units,profit_units,roi_pct,hit_rate_decided_pct,avg_odds_actionable,avg_model_edge_pct,avg_model_edge_abs
CONMEBOL Sudamericana,32,12,20,12,10,2,0,0,0,0,0,0,20,12.0,2.35,19.5833,83.3333,1.4325,,0.1382
Segunda División,23,2,21,2,2,0,0,0,0,0,0,0,21,2.0,1.5,75.0,100.0,1.75,,0.2794
Premiership,14,3,11,3,3,0,0,0,0,0,0,0,11,3.0,1.41,47.0,100.0,1.47,,0.1794
UEFA Europa League,4,2,2,2,2,0,0,0,0,0,0,0,2,2.0,1.34,67.0,100.0,1.67,,0.2413
Bundesliga,31,2,29,2,2,0,0,0,0,0,0,0,29,2.0,1.13,56.5,100.0,1.565,,0.1575
Allsvenskan,21,2,19,2,2,0,0,0,0,0,0,0,19,2.0,0.63,31.5,100.0,1.315,,0.1061
Serie A,41,2,39,2,2,0,0,0,0,0,0,0,39,2.0,0.63,31.5,100.0,1.315,,0.0878
2. Bundesliga,20,1,19,1,1,0,0,0,0,0,0,0,19,1.0,0.55,55.0,100.0,1.55,,0.1445
J1 League,38,8,30,8,6,2,0,0,0,0,0,0,30,8.0,0.25,3.125,75.0,1.3762,,0.1101
Eerste Divisie,16,0,16,0,0,0,0,0,0,0,0,0,16,0.0,0.0,,,,,
Eredivisie,17,0,17,0,0,0,0,0,0,0,0,0,17,0.0,0.0,,,,,
Jupiler Pro League,23,0,23,0,0,0,0,0,0,0,0,0,23,0.0,0.0,,,,,
League One,27,0,27,0,0,0,0,0,0,0,0,0,27,0.0,0.0,,,,,
League Two,24,0,24,0,0,0,0,0,0,0,0,0,24,0.0,0.0,,,,,
Ligue 2,18,0,18,0,0,0,0,0,0,0,0,0,18,0.0,0.0,,,,,
Major League Soccer,41,0,41,0,0,0,0,0,0,0,0,0,41,0.0,0.0,,,,,
Premier League,17,0,17,0,0,0,0,0,0,0,0,0,17,0.0,0.0,,,,,
Primeira Liga,20,0,20,0,0,0,0,0,0,0,0,0,20,0.0,0.0,,,,,
Super League,12,0,12,0,0,0,0,0,0,0,0,0,12,0.0,0.0,,,,,
Superliga,16,0,16,0,0,0,0,0,0,0,0,0,16,0.0,0.0,,,,,
Süper Lig,18,0,18,0,0,0,0,0,0,0,0,0,18,0.0,0.0,,,,,
UEFA Europa Conference League,4,0,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,,,,,
CONMEBOL Libertadores,31,12,19,12,8,4,0,0,0,0,0,0,19,12.0,-0.32,-2.6667,66.6667,1.4467,,0.1799
La Liga,24,2,22,2,1,1,0,0,0,0,0,0,22,2.0,-0.67,-33.5,50.0,1.355,,0.1429
UEFA Champions League,4,2,2,2,1,1,0,0,0,0,0,0,2,2.0,-0.69,-34.5,50.0,1.31,,0.1219
Championship,25,1,24,1,0,1,0,0,0,0,0,0,24,1.0,-1.0,-100.0,0.0,1.37,,0.1196
Eliteserien,19,1,18,1,0,1,0,0,0,0,0,0,18,1.0,-1.0,-100.0,0.0,1.5,,0.1364
Ligue 1,19,1,18,1,0,1,0,0,0,0,0,0,18,1.0,-1.0,-100.0,0.0,1.55,,0.0818
K League 1,18,4,14,4,2,2,0,0,0,0,0,0,14,4.0,-1.12,-28.0,50.0,1.395,,0.0941
Serie B,30,5,25,5,2,3,0,0,0,0,0,0,25,5.0,-2.13,-42.6,40.0,1.458,,0.1287
