summary_scope,metric,rows_total,league_coverage_class,league_has_standings_coverage,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage
overall,leagues_total,6,,,,,,,
by_league_coverage_class,league_coverage_class,6,COVERAGE_RICH,,,,,,
by_league_has_standings_coverage,league_has_standings_coverage,6,,1.0,,,,,
by_league_has_odds_coverage,league_has_odds_coverage,1,,,0.0,,,,
by_league_has_odds_coverage,league_has_odds_coverage,5,,,1.0,,,,
by_league_has_fixture_stats_coverage,league_has_fixture_stats_coverage,6,,,,1.0,,,
by_league_has_injuries_coverage,league_has_injuries_coverage,2,,,,,0.0,,
by_league_has_injuries_coverage,league_has_injuries_coverage,4,,,,,1.0,,
by_league_has_lineups_coverage,league_has_lineups_coverage,6,,,,,,1.0,
by_league_has_predictions_coverage,league_has_predictions_coverage,6,,,,,,,1.0
