check_name,expected,observed,status
combined_deep_rows,25,25,PASS
final_export_total_rows,25,25,PASS
approved_premium_export_rows,11,11,PASS
approved_standard_export_rows,0,0,PASS
downgraded_export_rows,12,12,PASS
blocked_export_rows,0,0,PASS
watch_export_rows,2,2,PASS
summary_overall_rows,25,25,PASS
summary_approved_premium_rows,11,11,PASS
summary_approved_standard_rows,0,0,PASS
summary_downgraded_rows,12,12,PASS
summary_blocked_rows,0,0,PASS
summary_watch_rows,2,2,PASS
