date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,attack_environment_score,team_edge_score,team_edge_raw,home_goal_path_score,away_goal_path_score,motivation_total_score,absences_noise_penalty,home_motivation_num,away_motivation_num,home_absences_num,away_absences_num,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate
2026-05-05,Scotland,League One,TIER_3,1543769,Forfar Athletic,Hamilton Academical,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541892,Hapoel Hadera,Ironi Modi'in,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541889,Hapoel Kfar Saba,Bnei Yehuda,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541894,Hapoel Ramat Gan,Maccabi Petah Tikva,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541893,Hapoel Rishon LeZion,Kiryat Yam SC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541890,Kafr Qasim,Hapoel Acre,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541891,Maccabi Herzliya,Hapoel Kfar Shalem,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533679,Al Ahly,Enppi,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533680,Ceramica Cleopatra,Pyramids FC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533681,Smouha SC,Zamalek SC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429684,Chippa United,Sekhukhune United,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429683,Magesi,Orbit College,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429682,Siwelele,Durban City,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429681,Stellenbosch,Orlando Pirates,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,United-Arab-Emirates,Pro League,TIER_3,1542138,Al-Ittihad Kalba,Khorfakkan,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,United-Arab-Emirates,Pro League,TIER_3,1542136,Baniyas SC,Al-Dhafra,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
