category,segment,before_rows_total,before_graded_rows,before_wins,before_losses,before_pushes,before_voids,before_profit_units_total,before_roi_percent,before_max_drawdown,after_rows_total,after_graded_rows,after_wins,after_losses,after_pushes,after_voids,after_profit_units_total,after_roi_percent,after_max_drawdown,after_hit_rate,after_avg_odds,after_avg_edge,after_avg_execution_score,delta_rows_total,delta_graded_rows,delta_wins,delta_losses,delta_pushes,delta_voids,delta_profit_units_total,delta_roi_percent,delta_max_drawdown,comparability_note
mode,CORE_ONLY,10.0,10.0,9.0,1.0,0.0,0.0,4.08,40.8,-0.68,21,21,17,4,0,0,7.19,34.238095,-0.77,80.952381,1.694286,0.203347,137.932303,11.0,11.0,8.0,3.0,0.0,0.0,3.1100000000000003,-6.561904999999996,-0.08999999999999997,Mode rows changed materially; deltas include inclusion/exclusion and ranking changes.
mode,CORE_PLUS_STANDARD,,,,,,,4.3,25.29,,21,21,17,4,0,0,7.19,34.238095,-0.77,80.952381,1.694286,0.203347,137.932303,,,,,,,2.8900000000000006,8.948095000000002,,Mode rows changed materially; deltas include inclusion/exclusion and ranking changes.
mode,FULL_SHORTLIST,39.0,39.0,29.0,10.0,0.0,0.0,4.27,10.95,-0.44,36,36,26,10,0,0,8.91,24.75,-0.47,72.222222,1.920833,0.201725,128.748865,-3.0,-3.0,-3.0,0.0,0.0,0.0,4.640000000000001,13.8,-0.02999999999999997,Mode rows changed materially; deltas include inclusion/exclusion and ranking changes.
overall,ALL,39.0,39.0,29.0,10.0,0.0,0.0,4.27,10.948718,,36,36,26,10,0,0,8.91,24.75,,,,,,-3.0,-3.0,-3.0,0.0,0.0,0.0,4.640000000000001,13.801282,,Row count changed from 39 to 36; not a same-row-only comparison.
source,PREMIUM_CORE,10.0,10.0,,,,,4.08,40.8,,21,21,17,4,0,0,7.19,34.238095,,,,,,11.0,11.0,,,,,3.1100000000000003,-6.561904999999996,,CORE survived/ranked much more often: 10 rows before vs 21 after.
source,PREMIUM_EXTENDED,22.0,22.0,,,,,-0.03,-0.14,,15,15,9,6,0,0,1.72,11.466667,,,,,,-7.0,-7.0,,,,,1.75,11.606667,,Expanded premium shrank from 22 to 15 rows and improved ROI.
source,STANDARD_FILL,7.0,7.0,,,,,0.22,3.14,,0,0,0,0,0,0,0.0,,,,,,,-7.0,-7.0,,,,,-0.22,,,STANDARD_FILL dropped to zero after rebuild; CORE_PLUS_STANDARD now equals CORE_ONLY.
