segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
2026-05-04,4,4,3,1,0,0,0.52,13.0
2026-05-05,3,3,2,1,0,0,-0.37,-12.333333
2026-05-06,3,3,2,1,0,0,-0.37,-12.333333
2026-05-07,3,3,3,0,0,0,1.98,66.0
2026-05-08,7,7,6,1,0,0,2.31,33.0
