comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_result_status,candidate_v2_result_status,baseline_result,candidate_v2_result,baseline_profit_units,candidate_v2_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE_ONLY,1388609,SC Freiburg vs RB Leipzig,Bundesliga,1,,OVER_2_5,,RESULT_AVAILABLE,,WIN,,0.52,,2026-05-16,2026-05-17T11:37:25+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-16-20260517T113724Z
BOTH,1392194,Granada CF vs Burgos,Segunda División,2,1.0,OVER_1_5,OVER_1_5,RESULT_AVAILABLE,RESULT_AVAILABLE,LOSS,LOSS,-1.0,-1.0,2026-05-16,2026-05-17T11:37:25+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-16-20260517T113724Z
BOTH,1544949,Juve Stabia vs Monza,Serie B,3,2.0,OVER_1_5,OVER_1_5,RESULT_AVAILABLE,RESULT_AVAILABLE,WIN,WIN,0.55,0.55,2026-05-16,2026-05-17T11:37:25+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-16-20260517T113724Z
